transcript,gene_name,coords,entrezgene_id,hgnc_id,uniprot_id,description,type,rank,Frel,TID
p1@C3orf18,C3orf18,chr3:50605077..50605140;-,e:51161,h:24837,u:Q9UK00;u:F8WCC4;u:C9JNP0,chromosome 3 open reading frame 18,gene with protein product,14,0.999,T135937
p1@CLIP4,CLIP4,chr2:29338236..29338439;+,e:79745,h:26108,u:Q8N3C7,CAP-Gly domain containing linker protein family member 4,gene with protein product,15,0.999,T121956
p1@CLN5,CLN5,chr13:77566179..77566264;+,e:1203,h:2076,u:B4E1V6,ceroid-lipofuscinosis; neuronal 5,gene with protein product,16,0.9985,T034389
p1@ERLEC1,ERLEC1,chr2:54014168..54014220;+,e:27248,h:25222,u:Q96DZ1;u:B5MC72,endoplasmic reticulum lectin 1,gene with protein product,17,0.9985,T123523
p1@MCM2,MCM2,chr3:127317243..127317288;+,e:4171,h:6944,u:F8WDM3;u:F5H3V0;u:F5H1E9;u:P49736,minichromosome maintenance complex component 2,gene with protein product,18,0.998,T128627
p2@SNRPG,SNRPG,chr2:70520810..70520831;-,e:6637,h:11163,u:C9JVQ0,small nuclear ribonucleoprotein polypeptide G,gene with protein product,19,0.998,T124862
p1@ARSA,ARSA,chr22:51066521..51066605;-,e:410,h:713,u:P15289;u:F8WCC8;u:B4DVI5;u:B7XD04,arylsulfatase A,gene with protein product,20,0.9975,T110222
p3@YY1AP1,YY1AP1,chr1:155658766..155658803;-,e:55249,h:30935,u:Q9H869,YY1 associated protein 1,gene with protein product,21,0.997,T083375
p7@HNRNPD,HNRNPD,chr4:83295064..83295075;-,e:3184,h:5036,u:Q14103,heterogeneous nuclear ribonucleoprotein D,gene with protein product,22,0.996,T146271
p2@SPRED1,SPRED1,chr15:38544993..38545058;+,e:161742,h:20249,u:Q7Z699,sprouty related EVH1 domain containing 1,gene with protein product,23,0.996,T043053
p1@PPCS,PPCS,chr1:42922196..42922241;+,e:79717,h:25686,u:Q5VVM2;u:Q5VVM3;u:Q9HAB8,phosphopantothenoylcysteine synthetase,gene with protein product,24,0.9955,T094518
p3@RCC1,RCC1,chr1:28844778..28844807;+,e:1104,h:1913,u:C9JW69,regulator of chromosome condensation 1,gene with protein product,25,0.995,T093134
p1@SLC30A1,SLC30A1,chr1:211752484..211752512;-,e:7779,h:11012,u:Q9Y6M5,solute carrier family 30 member 1,gene with protein product,26,0.9945,T089342
p1@SNRPG,SNRPG,chr2:70520832..70520881;-,e:6637,h:11163,u:C9JVQ0;u:P62308,small nuclear ribonucleoprotein polypeptide G,gene with protein product,27,0.994,T124863
p1@REEP3,REEP3,chr10:65281125..65281183;+,e:221035,h:23711,,receptor accessory protein 3,gene with protein product,28,0.994,T005961
p1@FAM136A,FAM136A,chr2:70529150..70529179;-,e:84908,h:25911,u:E7EQY1,family with sequence similarity 136 member A,gene with protein product,29,0.9935,T124866
p3@FBL,FBL,chr19:40331310..40331344;-,e:2091,h:3599,u:Q96BS4,fibrillarin,gene with protein product,30,0.9935,T074197
p2@RPS16,RPS16,chr19:39926550..39926561;-,e:6217,h:10396,u:Q6IPX4,ribosomal protein S16,gene with protein product,31,0.9935,T074126
p1@HAUS8,HAUS8,chr19:17186229..17186278;-,e:93323,h:30532,u:Q9BT25;u:C9JBZ4,HAUS augmin like complex subunit 8,gene with protein product,32,0.993,T071145
p1@MIS18A,MIS18A,chr21:33651324..33651366;-,e:54069,h:1286,u:Q9NYP9,MIS18 kinetochore protein A,gene with protein product,33,0.993,T104569
p1@SNRNP40,SNRNP40,chr1:31769595..31769652;-,e:9410,h:30857,u:Q96DI7;u:A0MNP2,small nuclear ribonucleoprotein U5 subunit 40,gene with protein product,34,0.993,T093327
p1@RNF170,RNF170,chr8:42751728..42751806;-,e:81790,h:25358,u:Q96K19;u:E9PP55,ring finger protein 170,gene with protein product,35,0.993,T184922
p1@ENDOD1,ENDOD1,chr11:94822968..94823042;+,e:23052,h:29129,u:O94919,endonuclease domain containing 1,gene with protein product,36,0.9915,T019724
p1@TACC3,TACC3,chr4:1723197..1723261;+,e:10460,h:11524,u:F8WC55;u:C9JWI7;u:Q9Y6A5,transforming acidic coiled-coil containing protein 3,gene with protein product,37,0.991,T141786
p1@SPC25,SPC25,chr2:169746878..169746970;-,e:57405,h:24031,u:Q9HBM1,SPC25; NDC80 kinetochore complex component,gene with protein product,38,0.9901,T114499
p1@ZWINT,ZWINT,chr10:58120996..58121039;-,e:11130,h:13195,u:A6NNV6;u:A6NNP9;u:O95229,ZW10 interacting kinetochore protein,gene with protein product,39,0.9901,T005391
p1@HNRNPAB,HNRNPAB,chr5:177631523..177631541;+,e:3182,h:5034,u:D6RBZ0;u:D6RD18,heterogeneous nuclear ribonucleoprotein A/B,gene with protein product,40,0.99,T152846
p1@TBC1D7,TBC1D7,chr6:13328716..13328792;-,e:51256,h:21066,u:Q96MB8;u:Q2TU37;u:Q9P0N9;u:Q5SZL8;u:Q5SZL4;u:Q5SZL5;u:Q5SZL6;u:Q53F44;u:Q5JPB9,TBC1 domain family member 7,gene with protein product,41,0.9896,T159182
p2@CCT3,CCT3,chr1:156307992..156308013;-,e:7203,h:1616,u:Q5SZX9,chaperonin containing TCP1 subunit 3,gene with protein product,42,0.9895,T083591
p2@STIL,STIL,chr1:47779729..47779744;-,e:6491,h:10879,,SCL/TAL1 interrupting locus,gene with protein product,43,0.9885,T095080
p1@KPNA2,KPNA2,chr17:66031838..66031876;+,e:3838,h:6395,u:P52292;u:Q7Z726,karyopherin subunit alpha 2,gene with protein product,44,0.9885,T062125
p1@LONP2,LONP2,chr16:48278178..48278336;+,e:83752,h:20598,u:Q86WA8;u:E7EN44;u:B7ZKL7,lon peptidase 2; peroxisomal,gene with protein product,45,0.9881,T051739
p1@SRSF3,SRSF3,chr6:36562132..36562154;+,e:6428,h:10785,u:B4E241;u:P84103,serine and arginine rich splicing factor 3,gene with protein product,46,0.988,T165231
p3@SCARB2,SCARB2,chr4:77134999..77135036;-,e:950,h:1665,u:Q14108,scavenger receptor class B member 2,gene with protein product,47,0.988,T145733
p1@IARS2,IARS2,chr1:220267429..220267510;+,e:55699,h:29685,u:Q9NSE4;u:F6SBX2,isoleucyl-tRNA synthetase 2; mitochondrial,gene with protein product,48,0.9876,T089940
p1@RABL2B,RABL2B,chr22:51222042..51222069;-,e:11158,h:9800,u:F2Z2T3;u:F2Z3J7,RAB; member of RAS oncogene family-like 2B,gene with protein product,49,0.9875,T110246
p2@RCC1,RCC1,chr1:28844730..28844776;+,e:1104,h:1913,u:P18754;u:E9PAT9;u:Q5T081,regulator of chromosome condensation 1,gene with protein product,50,0.9875,T093133
p1@GINS4,GINS4,chr8:41386761..41386787;+,e:84296,h:28226,u:E5RFF9,GINS complex subunit 4,gene with protein product,51,0.9875,T184743
p1@GNL3L,GNL3L,chrX:54556633..54556732;+,e:54552,h:25553,u:Q9NVN8;u:Q05DU1,G protein nucleolar 3 like,gene with protein product,52,0.9861,T200455
p4@PTPRM,PTPRM,chr18:7567351..7567365;+,e:5797,h:9675,u:A7MBN1;u:P28827,protein tyrosine phosphatase; receptor type M,gene with protein product,53,0.9851,T069033
p1@ARAP1,ARAP1,chr11:72433346..72433409;-,e:116985,h:16925,u:B2RTS2;u:Q96P48,ArfGAP with RhoGAP domain; ankyrin repeat and PH domain 1,gene with protein product,54,0.9836,T018170
p1@MAD2L1,MAD2L1,chr4:120987933..120988022;-,e:4085,h:6763,u:Q8IZX3;u:D6RJE3;u:Q13257,MAD2 mitotic arrest deficient-like 1 (yeast),gene with protein product,55,0.9826,T139375
p2@SCARB2,SCARB2,chr4:77134742..77134765;-,e:950,h:1665,u:E7EM68;u:D6RDG0,scavenger receptor class B member 2,gene with protein product,56,0.9826,T145726
p1@RPL9,RPL9,chr4:39460520..39460574;-,e:6133,h:10369,u:P32969;u:B4E1M5;u:D6RAN4;u:E7ESE0;u:Q53Z07,ribosomal protein L9,gene with protein product,57,0.9826,T143696
p1@PSMB1,PSMB1,chr6:170862322..170862415;-,e:5689,h:9537,u:P20618,proteasome subunit beta 1,gene with protein product,58,0.9821,T162212
p1@RNLS,RNLS,chr10:90343062..90343088;-,e:55328,h:25641,u:Q5VYX0,renalase; FAD dependent amine oxidase,gene with protein product,59,0.982,T007810
p4@SNRPA,SNRPA,chr19:41257173..41257187;+,e:6626,h:11151,u:B4DDC7,small nuclear ribonucleoprotein polypeptide A,gene with protein product,60,0.9816,T074415
p1@ANKRD27,ANKRD27,chr19:33166045..33166113;-,e:84079,h:25310,u:Q96NW4,ankyrin repeat domain 27,gene with protein product,61,0.9816,T072695
p3@ANAPC11,ANAPC11,chr17:79849872..79849919;+,e:51529,h:14452,u:Q9NYG5,anaphase promoting complex subunit 11,gene with protein product,62,0.9806,T064964
p2@CTNS,CTNS,chr17:3539998..3540036;+,e:1497,h:2518,u:F5H4I4;u:F8W6Z1;u:C9JMM9,cystinosin; lysosomal cystine transporter,gene with protein product,63,0.9801,T057516
p2@NEK6,NEK6,chr9:127020553..127020622;+,e:10783,h:7749,,NIMA related kinase 6,gene with protein product,64,0.9801,T189435
p4@COPS3,COPS3,chr17:17184524..17184538;-,e:8533,h:2239,u:C9JLV5,COP9 signalosome subunit 3,gene with protein product,65,0.9796,T055908
p3@GCFC1,PAXBP1,chr21:34144157..34144175;-,e:94104,h:13579,u:Q9Y5B6;u:Q8N6E6,PAX3 and PAX7 binding protein 1,gene with protein product,66,0.9791,T104635
p1@NUP153,NUP153,chr6:17707083..17707173;-,e:9972,h:8062,u:P49790;u:Q4LE47,nucleoporin 153,gene with protein product,67,0.9761,T162285
p1@KDM1A,KDM1A,chr1:23345943..23346051;+,e:23028,h:29079,u:F6S0T5,lysine demethylase 1A,gene with protein product,68,0.9761,T091044
p1@PTBP1,PTBP1,chr19:797443..797457;+,e:5725,h:9583,u:P26599;u:A6NLN1;u:Q9BUQ0,polypyrimidine tract binding protein 1,gene with protein product,69,0.9746,T079326
p1@ACTR10,ACTR10,chr14:58666824..58666902;+,e:55860,h:17372,u:Q9NZ32;u:G3V5Y4;u:G3V2Q5;u:G3V4K6,actin-related protein 10 homolog,gene with protein product,70,0.9746,T039039
p1@C19orf12,C19orf12,chr19:30206135..30206191;-,e:83636,h:25443,u:Q9NSK7;u:F8W6J3,chromosome 19 open reading frame 12,gene with protein product,71,0.9731,T072540
p1@PINK1,PINK1,chr1:20959943..20959992;+,e:65018,h:14581,u:Q9BXM7,PTEN induced putative kinase 1,gene with protein product,72,0.9726,T089039
p3@HNRNPL,HNRNPL,chr19:39340542..39340559;-,e:3191,h:5045,u:B4DPK8,heterogeneous nuclear ribonucleoprotein L,gene with protein product,73,0.9717,T073892
p1@GAR1,GAR1,chr4:110736659..110736694;+,e:54433,h:14264,u:Q9NY12,GAR1 ribonucleoprotein,gene with protein product,74,0.9717,T138881
p1@SF3B4,SF3B4,chr1:149899648..149899706;-,e:10262,h:10771,u:Q5SZ64,splicing factor 3b subunit 4,gene with protein product,75,0.9711,T082031
p1@SIAE,SIAE,chr11:124543604..124543654;-,e:54414,h:18187,u:Q9HAT2,sialic acid acetylesterase,gene with protein product,76,0.9706,T011202
p1@OPTN,OPTN,chr10:13142075..13142193;+,e:10133,h:17142,u:Q96CV9,optineurin,gene with protein product,77,0.9706,T002501
p4@ATP2B4,ATP2B4,chr1:203595980..203595991;+,e:493,h:817,u:P23634,ATPase plasma membrane Ca2+ transporting 4,gene with protein product,79,0.9696,T088175
p1@SRSF7,SRSF7,chr2:38978492..38978510;-,e:6432,h:10789,u:C9JAB2;u:G5E9M3,serine and arginine rich splicing factor 7,gene with protein product,80,0.9676,T122634
p8@GRSF1,GRSF1,chr4:71705619..71705628;-,e:2926,h:4610,u:Q12849,G-rich RNA sequence binding factor 1,gene with protein product,81,0.9662,T145188
p1@GTF3C5,GTF3C5,chr9:135906375..135906393;+,e:9328,h:4668,u:Q5T7U1;u:C9J393,general transcription factor IIIC subunit 5,gene with protein product,82,0.9661,T190742
p2@IWS1,IWS1,chr2:128284003..128284018;-,e:55677,h:25467,,IWS1; SUPT6H interacting protein,gene with protein product,83,0.9646,T111983
p4@RCC2,RCC2,chr1:17765044..17765073;-,e:55920,h:30297,u:Q9P258,regulator of chromosome condensation 2,gene with protein product,84,0.9642,T086033
p2@RBM4,RBM4,chr11:66406149..66406184;+,e:5936,h:9901,u:E9PB51,RNA binding motif protein 4,gene with protein product,85,0.9637,T017375
p2@ILF2,ILF2,chr1:153643418..153643429;-,e:3608,h:6037,,interleukin enhancer binding factor 2,gene with protein product,86,0.9628,T082875
p1@ATIC,ATIC,chr2:216176761..216176859;+,e:471,h:794,u:F2Z3E8;u:E9PBU3;u:F5GWY2,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,gene with protein product,87,0.9622,T118278
p3@UBE2E2,UBE2E2,chr3:23244780..23244837;+,e:7325,h:12478,u:Q96LR5;u:F8WF15,ubiquitin conjugating enzyme E2 E2,gene with protein product,88,0.9621,T133796
p1@MCM7,MCM7,chr7:99698956..99699038;-,e:4176,h:6950,u:F5H4S2,minichromosome maintenance complex component 7,gene with protein product,89,0.9617,T178924
p1@PSMG1,PSMG1,chr21:40555324..40555389;-,e:8624,h:3043,u:F8WBH7,proteasome assembly chaperone 1,gene with protein product,90,0.9613,T105233
p1@WDR11,WDR11,chr10:122610853..122610924;+,e:55717,h:13831,u:Q9BZH6,WD repeat domain 11,gene with protein product,91,0.9612,T001813
p5@HMGN1,HMGN1,chr21:40720538..40720557;-,e:3150,h:4984,,high mobility group nucleosome binding domain 1,gene with protein product,92,0.9607,T105249
p1@PSMD4,PSMD4,chr1:151227202..151227253;+,e:5710,h:9561,,proteasome 26S subunit; non-ATPase 4,gene with protein product,93,0.9603,T082365
p2@SNRNP200,SNRNP200,chr2:96971232..96971255;-,e:23020,h:30859,u:O75643;u:A2RRQ7,small nuclear ribonucleoprotein U5 subunit 200,gene with protein product,94,0.9602,T126379
p1@SRSF10,SRSF10,chr1:24306809..24306828;-,e:100505793;e:10772,h:16713,u:O75494,serine and arginine rich splicing factor 10,gene with protein product,95,0.9596,T091835
p2@ACSF2,ACSF2,chr17:48503571..48503597;+,e:80221,h:26101,u:B4DFQ6;u:D6RF15;u:E9PF16;u:D6RF87,acyl-CoA synthetase family member 2,gene with protein product,96,0.9593,T060493
p1@TK2,TK2,chr16:66584015..66584035;-,e:7084,h:11831,u:F5GYK4,thymidine kinase 2; mitochondrial,gene with protein product,97,0.9592,T052886
p1@RAF1,RAF1,chr3:12705600..12705643;-,e:5894,h:9829,u:B4E0X2,Raf-1 proto-oncogene; serine/threonine kinase,gene with protein product,98,0.9582,T128606
p2@C5orf24,C5orf24,chr5:134181717..134181752;+,e:134553,h:26746,,chromosome 5 open reading frame 24,gene with protein product,99,0.9568,T148898
p1@PHF5A,PHF5A,chr22:41864662..41864708;-,e:84844,h:18000,u:Q7RTV0,PHD finger protein 5A,gene with protein product,100,0.9557,T109221
p1@C3orf23,TCAIM,chr3:44380211..44380274;+,e:285343,h:25241,,T-cell activation inhibitor; mitochondrial,gene with protein product,101,0.9551,T134869
p5@PAM,PAM,chr5:102201722..102201750;+,e:5066,h:8596,u:P19021,peptidylglycine alpha-amidating monooxygenase,gene with protein product,102,0.9547,T147244
p1@RFC2,RFC2,chr7:73668692..73668763;-,e:5982,h:9970,u:F8WC37;u:F8WDC9;u:P35250;u:Q75MT5,replication factor C subunit 2,gene with protein product,103,0.9526,T177132
p1@RBM10,RBM10,chrX:47004639..47004685;+,e:8241,h:9896,,RNA binding motif protein 10,gene with protein product,104,0.9521,T199863
p1@GDE1,GDE1,chr16:19533404..19533450;-,e:51573,h:29644,u:Q9NZC3,glycerophosphodiester phosphodiesterase 1,gene with protein product,105,0.9518,T049424
p2@CRYBG3,CRYBG3,chr3:97540828..97540870;+,e:131544,h:34427,u:B4DLE8,crystallin beta-gamma domain containing 3,gene with protein product,106,0.9516,T137892
p5@LTBP4,LTBP4,chr19:41119270..41119313;+,e:8425,h:6717,u:F8WAA0;u:Q8N2S1,latent transforming growth factor beta binding protein 4,gene with protein product,107,0.9516,T074382
p5@SCARB2,SCARB2,chr4:77134706..77134717;-,e:950,h:1665,u:D6RDG0,scavenger receptor class B member 2,gene with protein product,108,0.9507,T145725
p1@MBTPS2,MBTPS2,chrX:21857717..21857763;+,e:51360,h:15455,u:O43462,membrane bound transcription factor peptidase; site 2,gene with protein product,109,0.9506,T198930
p2@ENDOD1,ENDOD1,chr11:94823060..94823069;+,e:23052,h:29129,u:O94919,endonuclease domain containing 1,gene with protein product,110,0.9498,T019725
p1@PTPRM,PTPRM,chr18:7567266..7567330;+,e:5797,h:9675,u:A7MBN1;u:P28827,protein tyrosine phosphatase; receptor type M,gene with protein product,111,0.9497,T069031
p1@KIF20A,KIF20A,chr5:137514782..137514827;+,e:10112,h:9787,u:B4DL79,kinesin family member 20A,gene with protein product,112,0.9487,T149241
p1@RUVBL1,RUVBL1,chr3:127842612..127842680;-,e:8607,h:10474,u:Q9Y265,RuvB like AAA ATPase 1,gene with protein product,113,0.9476,T128720
p1@CDCA4,CDCA4,chr14:105487381..105487453;-,e:55038,h:14625,u:Q9BXL8,cell division cycle associated 4,gene with protein product,114,0.9467,T035792
p2@CENPW,CENPW,chr6:126661233..126661250;+,e:387103,h:21488,u:Q5EE01,centromere protein W,gene with protein product,115,0.9448,T158742
p1@PLK1,PLK1,chr16:23690184..23690267;+,e:5347,h:9077,u:Q58A51;u:B4E083;u:P53350,polo like kinase 1,gene with protein product,116,0.9447,T049931
p3@EZR,EZR,chr6:159240415..159240426;-,e:7430,h:12691,u:P15311,ezrin,gene with protein product,117,0.9447,T161291
p2@RABL2B,RABL2B,chr22:51222070..51222092;-,e:11158,h:9800,u:A8MXF6;u:Q9UNT1,RAB; member of RAS oncogene family-like 2B,gene with protein product,118,0.9443,T110247
p1@SPIN4,SPIN4,chrX:62571187..62571217;-,e:139886,h:27040,u:Q56A73,spindlin family member 4,gene with protein product,119,0.9442,T200603
p2@RECQL5,RECQL5,chr17:73663217..73663240;-,e:9400,h:9950,,RecQ like helicase 5,gene with protein product,120,0.9434,T063207
p1@ZC3H4,ZC3H4,chr19:47615498..47615522;-,e:23211,h:17808,,zinc finger CCCH-type containing 4,gene with protein product,121,0.9427,T076042
p1@PAM,PAM,chr5:102090974..102091039;+,e:5066,h:8596,,peptidylglycine alpha-amidating monooxygenase,gene with protein product,122,0.9417,T147217
p1@DNA2,DNA2,chr10:70231639..70231735;-,e:1763,h:2939,u:F8VPM6;u:F8VR31;u:P51530,DNA replication helicase/nuclease 2,gene with protein product,123,0.9409,T006145
p15@HNRNPUL1,HNRNPUL1,chr19:41800494..41800514;+,e:11100,h:17011,u:B3KM60,heterogeneous nuclear ribonucleoprotein U like 1,gene with protein product,124,0.9404,T074539
p1@DHX9,DHX9,chr1:182808474..182808498;+,e:1660,h:2750,u:Q08211,DExH-box helicase 9,gene with protein product,125,0.9403,T086414
p5@NDFIP1,NDFIP1,chr5:141488405..141488416;+,e:80762,h:17592,,Nedd4 family interacting protein 1,gene with protein product,126,0.9399,T149808
p2@RPS10,RPS10,chr6:34393800..34393821;-,e:6204,h:10383,u:P46783,ribosomal protein S10,gene with protein product,127,0.9398,T164947
p1@LOH12CR1,BORCS5,chr12:12509990..12510042;+,e:118426,h:17950,u:G3V1P3;u:Q969J3,BLOC-1 related complex subunit 5,gene with protein product,128,0.9383,T022631
p2@ZNF107,ZNF107,chr7:64126535..64126559;+,e:51427,h:12887,u:Q9UII5,zinc finger protein 107,gene with protein product,129,0.9377,T176601
p8@HNRNPD,HNRNPD,chr4:83295077..83295088;-,e:3184,h:5036,u:Q14103,heterogeneous nuclear ribonucleoprotein D,gene with protein product,130,0.9374,T146272
p2@C3,C3,chr19:6720686..6720694;-,e:718,h:1318,u:P01024,complement C3,gene with protein product,131,0.9357,T079062
p1@POLR2D,POLR2D,chr2:128615681..128615737;-,e:5433,h:9191,u:O15514;u:E9PHV4,RNA polymerase II subunit D,gene with protein product,132,0.9356,T112077
p2@LIG1,LIG1,chr19:48673552..48673578;-,e:3978,h:6598,u:P18858;u:F5GZ28;u:B4E135,DNA ligase 1,gene with protein product,133,0.9356,T076283
p1@ZBTB38,ZBTB38,chr3:141121164..141121249;+,e:253461,h:26636,u:D6RC86;u:D6RJE1,zinc finger and BTB domain containing 38,gene with protein product,134,0.9339,T129708
p1@FBL,FBL,chr19:40336972..40337029;-,e:2091,h:3599,u:P22087,fibrillarin,gene with protein product,135,0.9337,T074201
p5@GBAS,GBAS,chr7:56032600..56032623;+,e:2631,h:4179,u:C9K068,glioblastoma amplified sequence,gene with protein product,136,0.9322,T176451
p1@PSMC5,PSMC5,chr17:61904766..61904827;+,e:5705,h:9552,u:P62195,proteasome 26S subunit; ATPase 5,gene with protein product,137,0.9317,T061722
p2@MYADM,MYADM,chr19:54372877..54373045;+,e:91663,h:7544,u:C9JJV6,myeloid associated differentiation marker,gene with protein product,138,0.9313,T077777
p1@C6orf120,C6orf120,chr6:170102210..170102275;+,e:387263,h:21247,u:Q7Z4R8,chromosome 6 open reading frame 120,gene with protein product,139,0.9307,T162139
p1@DDX39A,DDX39A,chr19:14530143..14530177;-,e:10212,h:17821,u:O00148,DExD-box helicase 39A,gene with protein product,140,0.9305,T070685
p3@PTPRM,PTPRM,chr18:7567378..7567397;+,e:5797,h:9675,u:A7MBN1;u:P28827,protein tyrosine phosphatase; receptor type M,gene with protein product,141,0.93,T069034
p1@SNRPF,SNRPF,chr12:96252710..96252789;+,e:6636,h:11162,u:F8W0W6,small nuclear ribonucleoprotein polypeptide F,gene with protein product,142,0.9299,T030585
p2@ISG20L2,ISG20L2,chr1:156698469..156698589;-,e:81875,h:25745,u:Q9H9L3,interferon stimulated exonuclease gene 20 like 2,gene with protein product,143,0.9292,T083742
p4@RPA1,RPA1,chr17:1733353..1733364;+,e:6117,h:10289,u:P27694,replication protein A1,gene with protein product,144,0.9289,T055926
p1@CCDC107,CCDC107,chr9:35658262..35658372;+,e:203260,h:28465,u:Q8WV48;u:F8W8S5,coiled-coil domain containing 107,gene with protein product,145,0.9283,T192978
p1@SEC22C,SEC22C,chr3:42623428..42623489;-,e:9117,h:16828,u:Q9BRL7;u:F8VQT7;u:C9J9A4;u:C9JNW1;u:F8WDR5;u:F8WBN1;u:F5H0H7,SEC22 homolog C; vesicle trafficking protein,gene with protein product,146,0.9278,T134737
p6@CLIP4,CLIP4,chr2:29338486..29338508;+,e:79745,h:26108,u:Q8N3C7,CAP-Gly domain containing linker protein family member 4,gene with protein product,147,0.9268,T121958
p1@BBS2,BBS2,chr16:56553882..56553992;-,e:583,h:967,u:Q9BXC9,Bardet-Biedl syndrome 2,gene with protein product,148,0.9263,T052310
p1@MYBL2,MYBL2,chr20:42295745..42295765;+,e:4605,h:7548,u:F8W6N6,MYB proto-oncogene like 2,gene with protein product,149,0.9259,T100872
p1@CCNB2,CCNB2,chr15:59397298..59397353;+,e:9133,h:1580,,cyclin B2,gene with protein product,150,0.9259,T045053
p1@SGPP1,SGPP1,chr14:64194745..64194799;-,e:81537,h:17720,u:Q9BX95,sphingosine-1-phosphate phosphatase 1,gene with protein product,151,0.9253,T039452
p5@PGM1,PGM1,chr1:64058906..64058920;+,e:5236,h:8905,u:F5H857,phosphoglucomutase 1,gene with protein product,152,0.925,T096007
p2@MED30,MED30,chr8:118533006..118533046;+,e:90390,h:23032,,mediator complex subunit 30,gene with protein product,153,0.9243,T180082
p2@USP36,USP36,chr17:76836963..76836987;-,e:57602,h:20062,u:Q9P275;u:Q8IXW9,ubiquitin specific peptidase 36,gene with protein product,154,0.9239,T064153
p1@HJURP,HJURP,chr2:234763147..234763211;-,e:55355,h:25444,u:Q8NCD3;u:C9JWC4;u:F8WCV1,Holliday junction recognition protein,gene with protein product,155,0.9232,T120384
p2@DDX39A,DDX39A,chr19:14530112..14530140;-,e:10212,h:17821,u:Q8N5M0,DExD-box helicase 39A,gene with protein product,156,0.9231,T070684
p1@HMGN2,HMGN2,chr1:26798955..26798996;+,e:3151,h:4986,,high mobility group nucleosomal binding domain 2,gene with protein product,157,0.9228,T092766
p5@SEPT2,SEPT2,chr2:242255573..242255606;+,e:4735,h:7729,u:C9JSE7,septin 2,gene with protein product,158,0.9224,T121137
p2@MTIF3,MTIF3,chr13:28024269..28024341;-,e:219402,h:29788,u:Q9H2K0,mitochondrial translational initiation factor 3,gene with protein product,159,0.9224,T032231
p1@MCM3,MCM3,chr6:52149475..52149587;-,e:4172,h:6945,u:P25205;u:E9PF11,minichromosome maintenance complex component 3,gene with protein product,160,0.9218,T166675
p1@MCM5,MCM5,chr22:35796108..35796172;+,e:4174,h:6948,u:B1AHB1;u:B1AHA9;u:E7EQY5;u:F8WFD7;u:F8WBR1;u:B1AHB0;u:P33992,minichromosome maintenance complex component 5,gene with protein product,161,0.9217,T108174
p2@GTF3C5,GTF3C5,chr9:135906087..135906135;+,e:9328,h:4668,u:Q5T7U4,general transcription factor IIIC subunit 5,gene with protein product,162,0.9217,T190740
p1@GALNT11,GALNT11,chr7:151722712..151722873;+,e:63917,h:19875,u:Q8NCW6;u:C9JMT8;u:C9JPR8;u:B7Z3L9;u:B7Z5G5;u:B3KWF4,polypeptide N-acetylgalactosaminyltransferase 11,gene with protein product,163,0.9215,T172888
