source,interaction,target,zero_order_r,r_sign
T007573,-->,T163648,-0.400496095218527,-
T007602,-->,T158729,0.493328870491044,+
T007602,-->,T182932,0.395648983994117,+
T007722,-->,T036299,0.277293896931512,+
T008214,-->,T020140,0.640823747047378,+
T008214,-->,T038826,0.693986751572339,+
T008214,-->,T099539,0.765434381905042,+
T008214,-->,T142401,0.732757929100906,+
T009570,-->,T036299,0.43012977387825,+
T009570,-->,T046720,0.493655635436414,+
T010532,-->,T152567,0.54459098517908,+
T010793,-->,T010794,0.530255195056685,+
T010793,-->,T051703,0.425018119493921,+
T010793,-->,T101707,0.28948281275481,+
T010794,-->,T101708,0.390957036705713,+
T010794,-->,T184118,0.560955279831533,+
T011202,-->,T028981,0.409199710231738,+
T011263,-->,T091834,-0.213093285063,-
T011410,-->,T174478,0.348112923002825,+
T011787,-->,T051739,0.493349901816965,+
T011787,-->,T124863,-0.475334597800901,-
T012515,-->,T089398,0.324903210058772,+
T012515,-->,T130775,0.295109582187636,+
T012561,-->,T091502,0.297382393166313,+
T012561,-->,T119025,0.419500158821555,+
T013618,-->,T119425,0.3004430245707,+
T013618,-->,T129382,0.346780216123405,+
T014852,-->,T136046,0.507431170119775,+
T014853,-->,T014852,0.79705351588054,+
T014853,-->,T135555,0.423150573331881,+
T015622,-->,T076126,0.465657393720043,+
T015622,-->,T083742,0.41660259083876,+
T015622,-->,T162212,-0.180502849031787,-
T015688,-->,T006749,0.697717306071601,+
T015688,-->,T016692,0.812934012127515,+
T015688,-->,T087901,0.795612571981228,+
T015688,-->,T093133,0.766657283705006,+
T016575,-->,T074539,0.471382287260352,+
T016575,-->,T121691,0.469487321322656,+
T016692,-->,T092609,0.760979502120882,+
T016692,-->,T094071,0.821966590953575,+
T016692,-->,T112077,0.691306285376432,+
T016750,-->,T070178,0.786991597630501,+
T017161,-->,T017360,0.603261595902572,+
T017161,-->,T168614,0.58559215004657,+
T017334,-->,T011787,0.535535493160754,+
T017334,-->,T021001,0.642873323487599,+
T017334,-->,T064218,0.516730048544346,+
T017334,-->,T074914,0.454471358761014,+
T017335,-->,T021272,0.455668040518772,+
T017335,-->,T089341,0.404449982860257,+
T017335,-->,T116267,0.641724481678035,+
T017335,-->,T121956,0.621200535511221,+
T017335,-->,T131936,0.678546274710985,+
T017360,-->,T050593,0.753328138998543,+
T017360,-->,T076126,0.560987854155679,+
T017360,-->,T105600,0.735583802700217,+
T017375,-->,T016575,0.504786424288174,+
T017375,-->,T083788,0.559228893410547,+
T018082,-->,T016692,0.78308673677148,+
T018082,-->,T021831,0.754973139018693,+
T018082,-->,T128627,0.809928487743225,+
T018170,-->,T142639,0.456889573237148,+
T018491,-->,T045502,0.66657836922749,+
T019298,-->,T019300,0.550912161624931,+
T019298,-->,T164754,0.293693873457465,+
T019299,-->,T019298,0.667610726418967,+
T019299,-->,T019300,0.657227084426924,+
T019299,-->,T087744,0.422057007082768,+
T019300,-->,T110247,0.313309732167925,+
T019444,-->,T043053,0.54959259824348,+
T019444,-->,T058857,0.604563010548098,+
T019444,-->,T067440,0.483877945921698,+
T019444,-->,T134944,0.600488641775594,+
T019724,-->,T019725,0.696903033364114,+
T019724,-->,T055881,0.445168758601124,+
T019724,-->,T134737,0.44533548801474,+
T019725,-->,T034489,0.395419314334614,+
T019725,-->,T052310,0.561901252731574,+
T019725,-->,T145188,0.396551318769461,+
T020139,-->,T020140,0.693038169618537,+
T020139,-->,T114499,0.79054262098308,+
T020139,-->,T161514,0.482883406490232,+
T020140,-->,T001802,0.408688815359375,+
T020140,-->,T002526,0.729524906256585,+
T020140,-->,T037855,0.399490924141276,+
T020570,-->,T023533,0.477297315297023,+
T020570,-->,T123523,0.674717509575987,+
T020570,-->,T196192,0.56258724419861,+
T020788,-->,T043527,0.733816886816705,+
T020788,-->,T048932,0.666165662781652,+
T020788,-->,T074415,0.728993161777508,+
T020788,-->,T157484,0.579139120628593,+
T020789,-->,T071787,0.544474538313793,+
T020789,-->,T093134,0.658450278343038,+
T020789,-->,T124123,0.668423737174031,+
T020789,-->,T162757,0.756941137655504,+
T021287,-->,T071261,0.565299389966973,+
T021287,-->,T094098,0.538221701702171,+
T021287,-->,T145731,0.607219530658185,+
T021676,-->,T016722,0.413290136200312,+
T021676,-->,T072540,0.393476112834153,+
T021676,-->,T100486,0.395977729282406,+
T021676,-->,T101302,0.447319804051783,+
T021676,-->,T134737,0.47332419896393,+
T021831,-->,T100654,0.524538367654885,+
T022264,-->,T017375,0.535601836329445,+
T022631,-->,T052310,0.568900382574493,+
T023192,-->,T074510,0.434876690242591,+
T023192,-->,T086039,0.50978989602348,+
T023192,-->,T129708,-0.435400094139701,-
T023192,-->,T190742,0.589976589808518,+
T024242,-->,T012561,0.338627298639475,+
T024242,-->,T024243,0.897633455182953,+
T024242,-->,T045077,0.551785332779482,+
T024242,-->,T128815,0.360872678729285,+
T024246,-->,T024243,0.469800148708593,+
T024246,-->,T059040,0.298452310637336,+
T024387,-->,T184922,0.27359021149769,+
T024973,-->,T018491,0.680166143777277,+
T024973,-->,T022375,0.502959083036762,+
T024973,-->,T034242,0.67544693502753,+
T024973,-->,T059214,0.646887478822297,+
T025057,-->,T051739,0.335953791654104,+
T026456,-->,T016750,0.766939055384963,+
T026456,-->,T093134,0.690736429902576,+
T026456,-->,T190742,0.721574531919133,+
T027208,-->,T151706,0.357534331099039,+
T027239,-->,T020140,0.680176740458425,+
T027239,-->,T095314,0.570276749125514,+
T027239,-->,T126379,0.64021062765053,+
T027239,-->,T165786,0.477449986790657,+
T027239,-->,T166675,0.787238695210058,+
T027962,-->,T126229,0.444655204998239,+
T028060,-->,T128720,0.622506647940043,+
T028060,-->,T184743,0.582897731175118,+
T028981,-->,T064218,0.466818370732345,+
T031815,-->,T086414,0.599908848484153,+
T031815,-->,T161513,0.293715681839367,+
T031815,-->,T170760,0.445612658111991,+
T031815,-->,T189558,0.457844066858072,+
T031815,-->,T196704,-0.401481738497865,-
T031931,-->,T020139,0.762441104888565,+
T031931,-->,T031930,0.708861445788649,+
T031931,-->,T133709,0.769955744845326,+
T032475,-->,T146273,0.630561373944122,+
T032687,-->,T099355,0.767607645207547,+
T032687,-->,T133490,0.383772003222136,+
T032687,-->,T139375,0.813900418131763,+
T032687,-->,T172168,-0.461667789609908,-
T032903,-->,T107438,0.596787553078868,+
T032960,-->,T061051,0.421965728958762,+
T032960,-->,T118278,0.470940614830586,+
T033602,-->,T119025,0.39790920780047,+
T033629,-->,T001813,0.380145639963854,+
T034389,-->,T145731,0.68722546787619,+
T034486,-->,T001938,0.425697910366221,+
T034486,-->,T134710,0.386752774485558,+
T034488,-->,T100204,0.32967517963885,+
T035689,-->,T061050,0.457389995459457,+
T035689,-->,T061672,0.544077157955596,+
T035689,-->,T082875,0.540602694060106,+
T035689,-->,T190576,0.51312674317048,+
T035792,-->,T011787,-0.489083571487005,-
T035792,-->,T058857,-0.500042269161725,-
T035792,-->,T100872,0.687614570814035,+
T035792,-->,T121697,0.650592286507027,+
T036271,-->,T084866,0.332609382102442,+
T036271,-->,T189558,0.364485036237901,+
T036299,-->,T007810,0.369238316398715,+
T036299,-->,T027301,0.385116121515002,+
T036299,-->,T046720,0.453400234608196,+
T036299,-->,T160526,0.439709251008226,+
T038674,-->,T001939,0.230722634091129,+
T038674,-->,T028181,-0.114474118929274,-
T038674,-->,T038675,0.766442369356756,+
T038826,-->,T090493,0.62845133833008,+
T038826,-->,T111983,0.443881654310599,+
T039039,-->,T039795,0.489211200827433,+
T039039,-->,T121956,0.521208644709259,+
T039795,-->,T052886,0.604343662208256,+
T040026,-->,T061507,0.110129216229389,+
T041005,-->,T041006,0.706700734079309,+
T041006,-->,T059214,0.598264819171627,+
T041006,-->,T072695,0.43367930061488,+
T041396,-->,T111983,0.407867586284103,+
T041396,-->,T117796,0.394025758300162,+
T041396,-->,T163537,0.449602020237869,+
T042064,-->,T082924,0.469123122991377,+
T042184,-->,T052942,-0.226679503600691,-
T042184,-->,T134660,0.297268052442099,+
T042268,-->,T182931,0.226710773760245,+
T043456,-->,T053910,0.81666069575091,+
T043456,-->,T074201,0.724513770462491,+
T043456,-->,T095309,0.840028446810255,+
T043527,-->,T083186,0.734081941816403,+
T043527,-->,T104569,0.72081569321062,+
T043527,-->,T126786,0.698305463809608,+
T043528,-->,T020140,0.692465507989824,+
T043528,-->,T045053,0.810240183452142,+
T043528,-->,T047618,0.853619761837031,+
T043528,-->,T099539,0.797729297951395,+
T043528,-->,T133709,0.812001684388089,+
T043528,-->,T142401,0.780288811706992,+
T044139,-->,T002571,0.572352543044413,+
T044139,-->,T195839,0.417333530874795,+
T044884,-->,T068321,0.368469718747932,+
T044884,-->,T148176,0.486767678125689,+
T045052,-->,T094972,0.444664433359926,+
T045052,-->,T126388,0.588623636650623,+
T045052,-->,T151563,0.508449551129139,+
T045052,-->,T184743,0.426628106523937,+
T045077,-->,T134710,0.386817747348842,+
T045080,-->,T013618,0.376621434955282,+
T045080,-->,T021272,0.414981120111425,+
T045080,-->,T047006,0.328485872278233,+
T045502,-->,T187532,0.419462786906438,+
T046235,-->,T050693,0.611665940916291,+
T046235,-->,T134944,0.502857738629884,+
T046235,-->,T146273,-0.375281059321109,-
T046289,-->,T089039,0.572146387364157,+
T046289,-->,T100204,0.475981420021488,+
T046289,-->,T193801,0.443428943475502,+
T046661,-->,T012515,0.176495795741705,+
T046720,-->,T019299,0.609826418796471,+
T046720,-->,T145733,0.549087049417845,+
T046847,-->,T061672,0.433024755901122,+
T046847,-->,T095314,0.438600433749307,+
T046847,-->,T126379,0.44699785286187,+
T046860,-->,T032960,0.444450572181801,+
T046860,-->,T047958,0.396976172401413,+
T046860,-->,T082435,0.562210291402219,+
T046860,-->,T083591,0.645989419934591,+
T047006,-->,T094518,0.423816769201261,+
T047006,-->,T134869,0.436898504722459,+
T047006,-->,T163566,-0.321803599815097,-
T047618,-->,T085803,0.686327585024097,+
T047958,-->,T074539,0.398502477954733,+
T047958,-->,T188679,0.24764724276972,+
T048516,-->,T074197,0.533864320380175,+
T048516,-->,T122634,0.533169436104167,+
T048932,-->,T050892,0.611907753375449,+
T048932,-->,T062125,0.638715816849386,+
T048932,-->,T073892,0.524716043723199,+
T048932,-->,T102535,0.535323071495445,+
T048948,-->,T176452,0.546548895223651,+
T049346,-->,T023101,0.505091851998776,+
T049346,-->,T071787,0.474081758272912,+
T049357,-->,T016722,0.445899271894035,+
T049357,-->,T084439,0.491048778189685,+
T049357,-->,T098771,0.595074344775328,+
T049362,-->,T008481,0.423620245022087,+
T049362,-->,T164947,0.603204474281702,+
T049424,-->,T040026,0.397387265995589,+
T049424,-->,T145732,0.452389309282718,+
T049931,-->,T050593,0.822291095685169,+
T049931,-->,T069756,0.810485517948907,+
T049931,-->,T155325,0.802899522243363,+
T050037,-->,T069756,0.842513829055644,+
T050037,-->,T105600,0.807005010757265,+
T050037,-->,T105763,0.735407058047263,+
T050428,-->,T081067,0.422795471351099,+
T050593,-->,T162995,0.829332263450535,+
T051165,-->,T123523,-0.504365239548685,-
T051182,-->,T030586,0.463626611008359,+
T051614,-->,T121954,-0.251177820639351,-
T051623,-->,T008214,0.68946925852412,+
T051623,-->,T091044,0.672517029811353,+
T051623,-->,T123326,0.712546945553314,+
T051703,-->,T078346,-0.514261957151033,-
T051703,-->,T123523,0.59257910748576,+
T051706,-->,T069636,-0.337290711441816,-
T051739,-->,T033629,0.417906252689858,+
T051739,-->,T051703,0.537680822538758,+
T052310,-->,T121956,0.640367024101408,+
T052310,-->,T184118,0.63767735460691,+
T052332,-->,T134710,0.262930989887462,+
T052332,-->,T136046,0.527403623209348,+
T052341,-->,T182931,0.233420684903962,+
T052342,-->,T016722,0.275562271430367,+
T052342,-->,T037872,0.202501968411433,+
T052342,-->,T052341,0.880548412485429,+
T052342,-->,T173650,0.357396736558838,+
T052342,-->,T183226,0.245031968537194,+
T052363,-->,T007810,-0.149835978589025,-
T052363,-->,T082875,0.192661311225064,+
T052441,-->,T031815,-0.41383937169778,-
T052441,-->,T121196,-0.39803815696977,-
T052884,-->,T134737,0.423227519506346,+
T052884,-->,T189434,0.402100697898416,+
T052885,-->,T004343,0.462283225398408,+
T052885,-->,T007810,0.362987018341963,+
T052885,-->,T027301,0.40409180564398,+
T052885,-->,T052886,0.771076485876916,+
T052887,-->,T016722,0.376670447337923,+
T052887,-->,T052885,0.431162376308413,+
T052888,-->,T052887,0.307577558864344,+
T052888,-->,T082875,-0.274083470451089,-
T052888,-->,T126517,0.19000021013907,+
T053330,-->,T001938,0.449375821656064,+
T053330,-->,T110247,0.388415945728604,+
T053330,-->,T135660,0.479728014567156,+
T053330,-->,T155923,0.376761389373838,+
T053531,-->,T162995,0.743182427380999,+
T053531,-->,T190037,0.665978007426811,+
T053695,-->,T076126,0.492907463388638,+
T053695,-->,T112626,0.48828267500342,+
T054291,-->,T077777,0.32941790134256,+
T054291,-->,T095069,0.515752533003996,+
T054291,-->,T110033,0.588943129927242,+
T054291,-->,T162279,0.254064416204139,+
T054683,-->,T050428,0.407773085283102,+
T054683,-->,T099271,0.477929651688305,+
T054683,-->,T124866,0.540745271107187,+
T054684,-->,T054683,0.690123424959031,+
T054684,-->,T055926,0.503586383231649,+
T054922,-->,T053695,0.569800386396197,+
T054922,-->,T129409,0.589666960450502,+
T054922,-->,T188679,0.352209388998164,+
T054985,-->,T015622,0.534785701382143,+
T054985,-->,T017360,0.601175504059453,+
T054985,-->,T112088,0.489839152799115,+
T055926,-->,T106303,0.434183747946412,+
T055926,-->,T190576,0.362776909073703,+
T056212,-->,T019300,0.410567065921178,+
T056212,-->,T069374,0.408619109785981,+
T056212,-->,T089039,0.531039633582773,+
T056638,-->,T076906,0.500243168175195,+
T056638,-->,T116890,0.596300346654837,+
T056647,-->,T020139,0.787832667801118,+
T056647,-->,T043528,0.803344671878224,+
T056647,-->,T045053,0.833397014532069,+
T056647,-->,T094789,0.838860037956236,+
T056647,-->,T095081,0.846573156280716,+
T056950,-->,T059180,0.58952760924993,+
T059179,-->,T014853,0.566296051598038,+
T059179,-->,T033602,0.537694249413665,+
T059180,-->,T021287,0.730620743827214,+
T059180,-->,T048948,0.749358306376426,+
T059180,-->,T057516,0.596702152797194,+
T059180,-->,T137111,0.524248738302516,+
T059180,-->,T150964,0.738611587438808,+
T059393,-->,T021831,0.751598491600444,+
T059676,-->,T033629,0.372636057626404,+
T059676,-->,T136583,0.325690085068034,+
T059676,-->,T163611,-0.328563234508695,-
T061051,-->,T047618,0.682983708362541,+
T061051,-->,T062124,0.565880052211612,+
T061051,-->,T152846,0.57787763506787,+
T061051,-->,T190459,0.595437995384473,+
T061260,-->,T027208,0.406719519507089,+
T061260,-->,T028060,0.68655706181831,+
T061260,-->,T032687,0.66591776067651,+
T061260,-->,T194897,0.442868072564772,+
T061404,-->,T042184,0.250486363337339,+
T061404,-->,T082924,0.570776655761802,+
T061404,-->,T112626,0.620881824653363,+
T061404,-->,T128605,0.552089661397798,+
T061404,-->,T128606,0.64125915733841,+
T061404,-->,T146358,0.518552341422318,+
T061507,-->,T061050,0.604309595810842,+
T061507,-->,T062125,0.815731081333868,+
T061507,-->,T082031,0.723492359084958,+
T061507,-->,T102535,0.61104499983956,+
T061507,-->,T102663,0.774990108680411,+
T061507,-->,T188697,0.676611387597163,+
T061721,-->,T053531,0.724132773209379,+
T061721,-->,T102663,0.704923389817736,+
T061721,-->,T133794,-0.420066007959359,-
T061722,-->,T105942,0.421655293663684,+
T061928,-->,T140997,0.640414600712897,+
T061928,-->,T194694,0.676264475158853,+
T062124,-->,T062125,0.774555764497252,+
T062125,-->,T054683,0.654169019494026,+
T062125,-->,T062126,0.85368231262069,+
T062125,-->,T121192,0.671578736028255,+
T062126,-->,T160859,0.519783544507785,+
T062126,-->,T165004,0.478065573033822,+
T062713,-->,T104616,-0.348228554868563,-
T062713,-->,T185247,0.295024387642611,+
T062713,-->,T199607,-0.192355785609237,-
T063079,-->,T064961,0.538238335650661,+
T063079,-->,T182932,-0.378434663375648,-
T063087,-->,T083419,0.629985467774464,+
T063087,-->,T095309,0.816920070340845,+
T063461,-->,T056638,0.475089974299621,+
T063461,-->,T082404,0.453201572780153,+
T063461,-->,T093202,0.422392023821912,+
T063491,-->,T149807,0.33931772793965,+
T063932,-->,T027141,0.747795044809196,+
T063932,-->,T063933,0.877066032392329,+
T063932,-->,T064964,0.617771141821084,+
T063932,-->,T121697,0.725188020580486,+
T063933,-->,T061260,0.665462732702261,+
T063933,-->,T120383,0.564064270664632,+
T063933,-->,T160860,0.750908117467437,+
T064217,-->,T046720,0.52942495834999,+
T064217,-->,T136043,0.439100551756912,+
T064218,-->,T019402,0.433541852966615,+
T064218,-->,T021001,0.535605724320082,+
T064218,-->,T060493,0.395005819957902,+
T064218,-->,T079062,0.377439050135255,+
T064218,-->,T176303,0.401091474165447,+
T064961,-->,T042184,0.299102945107323,+
T064964,-->,T180398,0.49963150483762,+
T066008,-->,T041333,0.483147346399889,+
T066047,-->,T032475,0.710672987813994,+
T066047,-->,T041966,0.732331715444377,+
T066047,-->,T095394,0.679718321316925,+
T066846,-->,T196192,-0.293322002732412,-
T067439,-->,T047006,0.314686250496523,+
T067440,-->,T148176,0.4242546770681,+
T068971,-->,T095366,0.405423640592286,+
T068972,-->,T133796,0.427801791940968,+
T069031,-->,T069033,0.683600655281358,+
T069031,-->,T069034,0.687548316822107,+
T069033,-->,T089343,0.178181835811568,+
T069034,-->,T141006,0.323809979216919,+
T069034,-->,T196192,0.334965470432458,+
T069034,-->,T198930,0.348532971911588,+
T069157,-->,T019724,0.450544918273065,+
T069157,-->,T134710,0.364828470064664,+
T069374,-->,T001802,-0.246821516922869,-
T069374,-->,T010793,0.327948502033778,+
T069374,-->,T049357,0.360104890208088,+
T069374,-->,T078452,0.364838323140568,+
T069374,-->,T193801,0.345048876690857,+
T069756,-->,T070685,0.809752061903109,+
T069756,-->,T163150,0.769690842382461,+
T070178,-->,T162995,0.78204556184227,+
T070178,-->,T178924,0.828973478357732,+
T070619,-->,T076283,0.770403153443244,+
T070619,-->,T164776,0.80426018918805,+
T070684,-->,T121125,-0.479965727467951,-
T070685,-->,T070684,0.847067774943246,+
T070685,-->,T079326,0.73109405268796,+
T070685,-->,T182514,0.823002203791925,+
T070685,-->,T200112,0.7608484596595,+
T071145,-->,T076283,0.630198238808538,+
T071261,-->,T016361,0.554534773466402,+
T071261,-->,T021272,0.479710468826523,+
T071261,-->,T047770,0.481133622475635,+
T072540,-->,T016361,0.345920885309529,+
T072540,-->,T200455,-0.352338007564402,-
T072583,-->,T101302,0.411269498539836,+
T072585,-->,T089039,0.515526714060242,+
T072587,-->,T068971,0.308059485161661,+
T072587,-->,T076279,0.331475095820007,+
T072695,-->,T086033,0.434389229803321,+
T072695,-->,T200603,0.460317066539687,+
T073588,-->,T045502,0.376277425832817,+
T073892,-->,T002544,-0.307828056958951,-
T073892,-->,T033629,-0.400446428610517,-
T073892,-->,T049931,0.575084711988765,+
T074126,-->,T098701,-0.445928099390731,-
T074382,-->,T076906,0.436994052687924,+
T074382,-->,T094972,0.534236313685662,+
T074413,-->,T074201,0.661429598023406,+
T074413,-->,T105600,0.674993143306137,+
T074413,-->,T121697,0.615238732111732,+
T074413,-->,T198309,0.538246218068284,+
T074414,-->,T074413,0.594864587157303,+
T074510,-->,T091044,0.50629565308819,+
T074510,-->,T120141,0.465738815431889,+
T074539,-->,T051182,0.408540363334262,+
T074539,-->,T074538,0.296637886616259,+
T074539,-->,T074548,0.356291010271777,+
T074539,-->,T083587,0.424381464894024,+
T074539,-->,T083761,0.380580267228821,+
T074539,-->,T121691,0.454296989558444,+
T074539,-->,T135186,0.2255205860504,+
T074539,-->,T168758,0.310038252533991,+
T074600,-->,T106088,0.264930105401111,+
T074600,-->,T108174,0.449105835785858,+
T074911,-->,T011787,0.45431786144628,+
T074911,-->,T019300,0.457062379433193,+
T074911,-->,T074914,0.487372532135896,+
T074911,-->,T172888,0.515134957311671,+
T074914,-->,T122153,0.424583423230885,+
T074914,-->,T184118,0.476591453860908,+
T076042,-->,T034489,-0.308140084269929,-
T076052,-->,T016323,0.577019368505115,+
T076052,-->,T095084,-0.492634508318209,-
T076279,-->,T024243,0.399341500969625,+
T076279,-->,T041333,0.414644033551014,+
T076279,-->,T056212,0.386340773251653,+
T076279,-->,T149807,0.502627449472932,+
T076279,-->,T183713,0.451899331997535,+
T076283,-->,T133794,-0.429949140387924,-
T076811,-->,T106003,0.672583210926259,+
T076811,-->,T182256,0.679144044321575,+
T076906,-->,T190576,0.455717651483665,+
T078232,-->,T063079,0.630941810979517,+
T078452,-->,T056212,0.359075429515281,+
T078452,-->,T122153,0.309680621886432,+
T079326,-->,T039039,-0.503432866783363,-
T079326,-->,T064958,0.739744232574438,+
T079326,-->,T078346,0.753915841108248,+
T079326,-->,T093134,0.702758394020514,+
T079326,-->,T165791,0.7232981905683,+
T079479,-->,T112072,0.236266503878855,+
T080376,-->,T064153,0.360953215685575,+
T081886,-->,T082876,0.570466781511084,+
T082357,-->,T051614,0.464411480193983,+
T082357,-->,T081811,0.504543686237084,+
T082357,-->,T082404,0.417619057497381,+
T082435,-->,T082031,0.75247004896491,+
T082875,-->,T061672,0.57846948066909,+
T083186,-->,T027141,0.736951914461466,+
T083186,-->,T051623,0.733228585190513,+
T083186,-->,T086039,0.538428027266839,+
T083186,-->,T126786,0.653182216472427,+
T083186,-->,T149255,0.730262392948133,+
T083419,-->,T023206,0.647070490037676,+
T083419,-->,T081886,0.474275006106086,+
T083591,-->,T124123,0.583414875718999,+
T083592,-->,T166622,0.508982837820409,+
T083738,-->,T015622,0.411145987572094,+
T083738,-->,T152567,0.519987653468861,+
T083738,-->,T200455,0.487080284699399,+
T083761,-->,T001813,-0.322767580534329,-
T083761,-->,T011787,-0.324074373829319,-
T083761,-->,T132570,0.269020997446715,+
T083788,-->,T067439,-0.390960656843897,-
T084438,-->,T021676,0.656366451565458,+
T084438,-->,T024243,0.484350061592451,+
T084438,-->,T046289,0.59727391807699,+
T084439,-->,T084438,0.836741732741197,+
T084439,-->,T133794,0.4361404471797,+
T084866,-->,T000978,0.259572286079634,+
T085268,-->,T095366,0.558395314169772,+
T085528,-->,T001800,0.226740051792438,+
T085528,-->,T126785,0.347855751948452,+
T085802,-->,T021830,0.539626759295757,+
T085802,-->,T087901,0.653114088473923,+
T085802,-->,T120383,0.568946281703538,+
T085802,-->,T160860,0.672562799402496,+
T085803,-->,T038313,0.498271172738816,+
T085803,-->,T085802,0.600942846589217,+
T085803,-->,T102571,0.654010735663615,+
T086414,-->,T152941,0.748130934714075,+
T086426,-->,T020570,0.569604173967737,+
T086426,-->,T046235,0.459604210205393,+
T086426,-->,T121125,0.515911147708155,+
T086426,-->,T123166,0.440396094793095,+
T086426,-->,T144463,0.562896801897258,+
T086426,-->,T160526,0.476276637910429,+
T086426,-->,T178961,0.399612089811036,+
T087744,-->,T000456,0.425113736565896,+
T087744,-->,T018656,0.293674459768058,+
T087744,-->,T060493,0.334725478062113,+
T087744,-->,T072585,0.354493701500277,+
T087744,-->,T149496,0.398299256695411,+
T087744,-->,T169886,0.425540931253511,+
T087744,-->,T172168,0.474190446262447,+
T087901,-->,T046860,0.675928888762071,+
T088174,-->,T088173,0.734451139033565,+
T088174,-->,T088175,0.867504288845353,+
T088174,-->,T192978,0.418264708105185,+
T088175,-->,T004343,0.401505127992598,+
T088175,-->,T009570,0.357855032482994,+
T088175,-->,T088177,0.68586005964494,+
T088176,-->,T004343,0.387317839056034,+
T088176,-->,T088174,0.747335625029822,+
T088176,-->,T088175,0.734719913627401,+
T088176,-->,T088177,0.676282073596493,+
T088176,-->,T119425,0.2451513332888,+
T088177,-->,T063319,0.350544744225563,+
T088540,-->,T034389,0.430239338058435,+
T089341,-->,T012515,0.406813258567873,+
T089342,-->,T039452,0.361556017850679,+
T090381,-->,T176601,0.333398235462446,+
T090493,-->,T126379,0.64134351496028,+
T090880,-->,T062713,0.36823507791627,+
T091044,-->,T104569,0.685103826765684,+
T091502,-->,T041333,0.462266935539074,+
T092203,-->,T073588,0.544283574396174,+
T092609,-->,T173907,0.629910910179518,+
T093133,-->,T059393,0.75129397119065,+
T093134,-->,T072874,0.682074834549392,+
T093134,-->,T092609,0.690739802536915,+
T093202,-->,T040026,-0.314735618498554,-
T093327,-->,T095310,0.710279341626355,+
T093327,-->,T106670,0.704975575650431,+
T093327,-->,T108174,0.77666646624558,+
T093328,-->,T072874,0.609932522194676,+
T093328,-->,T093327,0.639323337477745,+
T093328,-->,T104723,0.625755945245739,+
T093328,-->,T104950,0.598367620417983,+
T093535,-->,T033211,0.44177871215894,+
T093772,-->,T079479,0.45798303295036,+
T093775,-->,T133490,0.385757556357439,+
T093775,-->,T178599,0.401140776096954,+
T094071,-->,T074413,0.719990307840977,+
T094097,-->,T094098,0.721989727941648,+
T094097,-->,T111886,0.447638514218161,+
T094097,-->,T145727,0.455350045707236,+
T094098,-->,T013131,0.401104697161987,+
T094789,-->,T018082,0.816079911973403,+
T094789,-->,T093327,0.759674563451753,+
T094789,-->,T120384,0.818650788536243,+
T094789,-->,T121351,0.801751926132753,+
T094869,-->,T048516,0.532084332008375,+
T094869,-->,T071787,0.428884331264761,+
T094869,-->,T074200,0.471045782380443,+
T094972,-->,T071145,0.527111930512303,+
T094972,-->,T095310,0.650114371077622,+
T094973,-->,T074382,0.623644153561104,+
T094973,-->,T093775,0.524359763236768,+
T095080,-->,T139374,0.51285800537624,+
T095081,-->,T093491,0.471284867781974,+
T095081,-->,T166675,0.78587825516658,+
T095084,-->,T011410,0.3514386926628,+
