Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,TID,Fabs,Frel,coords,transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
31,T186318,1991,0.9886,"chr8:72756251..72756262,-",p12@MSC,e:9242,h:7321,u:O60682,MSC,musculin,"gene with protein product"
32,T009517,1977,0.9875,"chr11:109963610..109963630,+",p4@ZC3H12C,e:85463,h:29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
33,T160491,1982,0.9871,"chr6:149638876..149638921,+",p3@TAB2,e:23118,h:17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
34,T137171,1981,0.9866,"chr3:69591809..69591832,-",p10@FRMD4B,e:23150,h:24886,u:C9JA15,FRMD4B,"FERM domain containing 4B","gene with protein product"
35,T028939,1981,0.9866,"chr12:72148728..72148739,+",p3@RAB21,e:23011,h:18263,u:Q9UL25,RAB21,"RAB21, member RAS oncogene family","gene with protein product"
36,T160490,1983,0.9861,"chr6:149638776..149638863,+",p1@TAB2,e:23118,h:17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
37,T099966,1977,0.9860,"chr20:33064297..33064302,-",p1@FDX1P1,,h:3640,,FDX1P1,"ferredoxin 1 pseudogene 1",pseudogene
38,T119393,1984,0.9851,"chr2:223289034..223289045,+",p11@SGPP2,e:130367,h:19953,u:Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
39,T037818,1980,0.9851,"chr14:35344520..35344552,-",p1@BAZ1A,e:11177,h:960,"u:Q9NRL2,u:F5H239",BAZ1A,"bromodomain adjacent to zinc finger domain 1A","gene with protein product"
40,T003758,1980,0.9846,"chr10:26986374..26986414,+",p3@PDSS1,e:23590,h:17759,u:Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
41,T137170,1975,0.9845,"chr3:69591727..69591760,-",p1@FRMD4B,e:23150,h:24886,u:C9JA15,FRMD4B,"FERM domain containing 4B","gene with protein product"
42,T194566,1977,0.9841,"chr9:90112767..90112808,+",p1@DAPK1,e:1612,h:2674,u:P53355,DAPK1,"death associated protein kinase 1","gene with protein product"
43,T008634,1977,0.9841,"chr10:98591801..98591841,+",p3@LCOR,e:84458,h:29503,u:Q96JN0,LCOR,"ligand dependent nuclear receptor corepressor","gene with protein product"
44,T058715,1969,0.9820,"chr17:40440225..40440268,+",p3@STAT5A,e:6776,h:11366,"u:Q59GY7,u:Q1KLZ6",STAT5A,"signal transducer and activator of transcription 5A","gene with protein product"
45,T189149,1968,0.9820,"chr9:123688431..123688465,-",p1@TRAF1,e:7185,h:12031,u:Q13077,TRAF1,"TNF receptor associated factor 1","gene with protein product"
46,T003759,1968,0.9801,"chr10:26986436..26986447,+",p12@PDSS1,e:23590,h:17759,u:Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
47,T055340,1965,0.9791,"chr17:10102156..10102163,-",p23@GAS7,e:8522,h:4169,"u:O60861,u:F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
48,T185242,1960,0.9766,"chr8:54792564..54792638,+",p2@RGS20,e:8601,h:14600,,RGS20,"regulator of G-protein signaling 20","gene with protein product"
49,T024316,1963,0.9761,"chr12:27485889..27485900,+",p4@ARNTL2,e:56938,h:18984,u:F5H402,ARNTL2,"aryl hydrocarbon receptor nuclear translocator like 2","gene with protein product"
50,T119398,1956,0.9760,"chr2:223289311..223289322,+",p9@SGPP2,e:130367,h:19953,u:Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
51,T084405,1958,0.9756,"chr1:16010779..16010860,+",p1@PLEKHM2,e:23207,h:29131,u:Q8IWE5,PLEKHM2,"pleckstrin homology and RUN domain containing M2","gene with protein product"
52,T119390,1958,0.9746,"chr2:223288872..223288887,+",p8@SGPP2,e:130367,h:19953,u:Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
53,T083862,1957,0.9736,"chr1:157108282..157108347,-",p3@ETV3,e:2117,h:3492,,ETV3,"ETS variant 3","gene with protein product"
54,T020109,1955,0.9736,"chr12:102271137..102271164,+",p6@DRAM1,e:55332,h:25645,u:Q8N682,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
55,T124240,1959,0.9732,"chr2:64246638..64246688,-",p2@VPS54,e:51542,h:18652,,VPS54,"VPS54, GARP complex subunit","gene with protein product"
56,T186916,1952,0.9726,"chr8:8751068..8751158,-",p1@MFHAS1,e:9258,h:16982,u:Q9Y4C4,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1","gene with protein product"
57,T164945,1952,0.9721,"chr6:34360536..34360547,-",p4@NUDT3,e:11165,h:8050,u:O95989,NUDT3,"nudix hydrolase 3","gene with protein product"
58,T009165,1946,0.9715,"chr11:10477815..10477831,+",p9@AMPD3,e:272,h:470,u:B7Z763,AMPD3,"adenosine monophosphate deaminase 3","gene with protein product"
59,T003757,1946,0.9701,"chr10:26986294..26986310,+",p2@PDSS1,e:23590,h:17759,u:Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
60,T189239,1950,0.9697,"chr9:124262117..124262140,-",p2@GGTA1P,,h:4253,,GGTA1P,"glycoprotein, alpha-galactosyltransferase 1 pseudogene",pseudogene
61,T200751,1947,0.9691,"chrX:67913471..67913495,+",p1@STARD8,e:9754,h:19161,u:Q92502,STARD8,"StAR related lipid transfer domain containing 8","gene with protein product"
62,T155754,1947,0.9682,"chr5:75699154..75699180,+",p2@IQGAP2,e:10788,h:6111,"u:F5H7S7,u:Q13576,u:Q59HA3",IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
63,T168207,1943,0.9681,"chr6:86353075..86353090,-",p5@SYNCRIP,e:10492,h:16918,"u:O60506,u:Q59GL1",SYNCRIP,"synaptotagmin binding cytoplasmic RNA interacting protein","gene with protein product"
64,T127014,1942,0.9671,"chr3:105085383..105085403,+",p7@ALCAM,e:214,h:400,"u:B4DTU0,u:Q13740,u:B3KNN9,u:Q6PEY4",ALCAM,"activated leukocyte cell adhesion molecule","gene with protein product"
65,T146789,1939,0.9666,"chr4:89300057..89300068,+",p7@HERC6,e:55008,h:26072,u:D6RCT4,HERC6,"HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","gene with protein product"
66,T015711,1940,0.9657,"chr11:61595533..61595544,+",p6@FADS2,e:9415,h:3575,u:E5RGD8,FADS2,"fatty acid desaturase 2","gene with protein product"
67,T007603,1933,0.9626,"chr10:86088381..86088436,+",p1@FAM190B,e:54462,h:29197,u:Q9H7U1,CCSER2,"coiled-coil serine rich protein 2","gene with protein product"
68,T009564,1934,0.9608,"chr11:110300868..110300900,+",p2@FDX1,e:2230,h:3638,u:P10109,FDX1,"ferredoxin 1","gene with protein product"
69,T193704,1922,0.9567,"chr9:71789133..71789220,+",p1@TJP2,e:9414,h:11828,,TJP2,"tight junction protein 2","gene with protein product"
70,T138955,1917,0.9556,"chr4:113066622..113066627,+",p4@C4orf32,e:132720,h:26813,u:Q8N8J7,C4orf32,"chromosome 4 open reading frame 32","gene with protein product"
71,T177402,1922,0.9553,"chr7:77166597..77166653,+",p1@PTPN12,e:5782,h:9645,u:Q05209,PTPN12,"protein tyrosine phosphatase, non-receptor type 12","gene with protein product"
72,T002901,1914,0.9527,"chr10:14646391..14646408,-",p1@FAM107B,e:83641,h:23726,u:Q9H098,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
73,T109608,1912,0.9527,"chr22:45064621..45064656,+",p2@PRR5,e:55615,h:31682,"u:B1AHG4,u:P85299",PRR5,"proline rich 5","gene with protein product"
74,T166148,1910,0.9526,"chr6:44094364..44094388,+",p10@TMEM63B,e:55362,h:17735,,TMEM63B,"transmembrane protein 63B","gene with protein product"
75,T114488,1916,0.9523,"chr2:169312600..169312606,+",p2@CERS6,e:253782,h:23826,u:Q32M63,CERS6,"ceramide synthase 6","gene with protein product"
76,T186871,1909,0.9516,"chr8:86376226..86376243,+",p1@CA2,e:760,h:1373,u:E5RK37,CA2,"carbonic anhydrase 2","gene with protein product"
77,T189904,1913,0.9503,"chr9:130661916..130661950,-",p2@ST6GALNAC6,e:30815,h:23364,u:Q969X2,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","gene with protein product"
78,T048469,1901,0.9481,"chr15:99797726..99797732,+",p4@HSP90B2P,,h:12099,,HSP90B2P,"heat shock protein 90 beta family member 2, pseudogene",pseudogene
79,T139929,1899,0.9462,"chr4:139937165..139937176,+",p6@CCRN4L,e:25819,h:14254,u:Q9UK39,NOCT,nocturnin,"gene with protein product"
80,T105409,1901,0.9448,"chr21:42792612..42792626,+",p13@MX1,e:4599,h:7532,"u:B3KU10,u:P20591",MX1,"MX dynamin like GTPase 1","gene with protein product"
81,T009563,1897,0.9443,"chr11:110300811..110300825,+",p4@FDX1,e:2230,h:3638,u:P10109,FDX1,"ferredoxin 1","gene with protein product"
82,T143940,1897,0.9438,"chr4:41937219..41937230,+",p3@TMEM33,e:55161,h:25541,,TMEM33,"transmembrane protein 33","gene with protein product"
83,T022165,1898,0.9433,"chr12:122231552..122231573,-",p1@RHOF,e:54509,h:15703,u:Q9HBH0,RHOF,"ras homolog family member F, filopodia associated","gene with protein product"
84,T075183,1892,0.9432,"chr19:44285109..44285148,-",p1@KCNN4,e:3783,h:6293,u:O15554,KCNN4,"potassium calcium-activated channel subfamily N member 4","gene with protein product"
85,T187023,1889,0.9403,"chr8:90769801..90769825,+",p4@RIPK2,e:8767,h:10020,u:O43353,RIPK2,"receptor interacting serine/threonine kinase 2","gene with protein product"
86,T124031,1889,0.9393,"chr2:61108695..61108753,+",p1@REL,e:5966,h:9954,"u:Q04864,u:Q17RU2",REL,"REL proto-oncogene, NF-kB subunit","gene with protein product"
87,T051106,1887,0.9393,"chr16:31044413..31044418,+",p2@STX4,e:6810,h:11439,u:A8MXY0,STX4,"syntaxin 4","gene with protein product"
88,T022482,1884,0.9387,"chr12:123921211..123921239,-",p3@RILPL2,e:196383,h:28787,u:Q969X0,RILPL2,"Rab interacting lysosomal protein like 2","gene with protein product"
89,T157439,1879,0.9362,"chr6:106960626..106960662,+",p5@AIM1,e:202,h:356,u:Q9Y4K1,AIM1,"absent in melanoma 1","gene with protein product"
90,T128682,1879,0.9353,"chr3:127542021..127542050,-",p1@MGLL,e:11343,h:17038,u:Q99685,MGLL,"monoglyceride lipase","gene with protein product"
91,T050365,1872,0.9337,"chr16:28518153..28518187,-",p1@IL27,e:246778,h:19157,u:Q8NEV9,IL27,"interleukin 27","gene with protein product"
92,T105408,1870,0.9336,"chr21:42792533..42792570,+",p5@MX1,e:4599,h:7532,"u:B3KU10,u:P20591",MX1,"MX dynamin like GTPase 1","gene with protein product"
93,T078983,1873,0.9332,"chr19:6680204..6680234,-",p8@C3,e:718,h:1318,,C3,"complement C3","gene with protein product"
94,T064556,1874,0.9328,"chr17:78261736..78261799,+",p2@RNF213,e:57674,h:14539,,RNF213,"ring finger protein 213","gene with protein product"
95,T068309,1872,0.9323,"chr18:60987220..60987386,-",p1@BCL2,e:596,h:990,u:P10415,BCL2,"BCL2, apoptosis regulator","gene with protein product"
96,T074997,1868,0.9307,"chr19:4343584..4343599,+",p2@MPND,e:84954,h:25934,,MPND,"MPN domain containing","gene with protein product"
97,T128413,1873,0.9305,"chr3:124606323..124606344,-",p3@ITGB5,e:3693,h:6160,u:P18084,ITGB5,"integrin subunit beta 5","gene with protein product"
98,T051109,1858,0.9267,"chr16:31045102..31045117,+",p4@STX4,e:6810,h:11439,,STX4,"syntaxin 4","gene with protein product"
99,T102124,1860,0.9263,"chr20:49126942..49126956,+",p2@PTPN1,e:5770,h:9642,u:B4DSN5,PTPN1,"protein tyrosine phosphatase, non-receptor type 1","gene with protein product"
100,T110009,1856,0.9248,"chr22:50354412..50354431,+",p1@PIM3,e:415116,h:19310,,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
101,T179234,1855,0.9233,"chr8:102218439..102218455,-",p3@ZNF706,e:51123,h:24992,,ZNF706,"zinc finger protein 706","gene with protein product"
102,T154951,1854,0.9224,"chr5:60140009..60140050,-",p2@ELOVL7,e:79993,h:26292,"u:D6RHD0,u:D6RBR5",ELOVL7,"ELOVL fatty acid elongase 7","gene with protein product"
103,T041588,1848,0.9212,"chr14:93581834..93581870,-",p7@ITPK1,e:3705,h:6177,,ITPK1,"inositol-tetrakisphosphate 1-kinase","gene with protein product"
104,T019642,1846,0.9202,"chr11:93862107..93862149,+",p3@PANX1,e:24145,h:8599,,PANX1,"pannexin 1","gene with protein product"
105,T006436,1841,0.9177,"chr10:72576095..72576115,+",p7@SGPL1,e:8879,h:10817,u:O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
106,T178087,1843,0.9165,"chr7:91763731..91763808,-",p1@CYP51A1,e:1595,h:2649,u:Q16850,CYP51A1,"cytochrome P450 family 51 subfamily A member 1","gene with protein product"
107,T151370,1837,0.9162,"chr5:156887244..156887258,+",p2@NIPAL4,e:348938,h:28018,,NIPAL4,"NIPA like domain containing 4","gene with protein product"
108,T143569,1839,0.9154,"chr4:37978974..37979050,+",p1@TBC1D1,e:23216,h:11578,,TBC1D1,"TBC1 domain family member 1","gene with protein product"
109,T080977,1837,0.9144,"chr1:1167419..1167430,-",p3@SDF4,e:51150,h:24188,u:G3V1E2,SDF4,"stromal cell derived factor 4","gene with protein product"
110,T093901,1836,0.9139,"chr1:36590804..36590835,-",p1@COL8A2,e:1296,h:2216,u:P25067,COL8A2,"collagen type VIII alpha 2 chain","gene with protein product"
111,T048016,1829,0.9104,"chr15:92397051..92397085,+",p3@SLCO3A1,e:28232,h:10952,,SLCO3A1,"solute carrier organic anion transporter family member 3A1","gene with protein product"
112,T075403,1826,0.9094,"chr19:45411012..45411068,+",p7@APOE,e:348,h:613,u:Q6LBZ1,APOE,"apolipoprotein E","gene with protein product"
113,T163345,1823,0.9079,"chr6:292253..292329,+",p3@DUSP22,e:56940,h:16077,u:Q9NRW4,DUSP22,"dual specificity phosphatase 22","gene with protein product"
114,T011294,1824,0.9066,"chr11:124933168..124933179,+",p4@SLC37A2,e:219855,h:20644,u:E9PRJ4,SLC37A2,"solute carrier family 37 member 2","gene with protein product"
115,T128677,1818,0.9058,"chr3:127541515..127541547,-",p4@MGLL,e:11343,h:17038,"u:Q99685,u:B3KRC2",MGLL,"monoglyceride lipase","gene with protein product"
116,T138417,1823,0.9056,"chr4:103265816..103265875,-",p3@SLC39A8,e:64116,h:20862,u:Q9C0K1,SLC39A8,"solute carrier family 39 member 8","gene with protein product"
117,T131164,1815,0.9043,"chr3:160283312..160283344,-",p2@KPNA4,e:3840,h:6397,,KPNA4,"karyopherin subunit alpha 4","gene with protein product"
118,T174913,1813,0.9033,"chr7:32931356..32931379,-",p1@KBTBD2,e:25948,h:21751,u:Q8IY47,KBTBD2,"kelch repeat and BTB domain containing 2","gene with protein product"
119,T100446,1814,0.9025,"chr20:35974484..35974529,+",p2@SRC,e:6714,h:11283,,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
120,T145536,1812,0.9024,"chr4:74904398..74904413,-",p1@CXCL3,e:2921,h:4604,u:P19876,CXCL3,"C-X-C motif chemokine ligand 3","gene with protein product"
121,T126535,1804,0.8989,"chr2:98262558..98262569,+",p2@COX5B,e:1329,h:2269,,COX5B,"cytochrome c oxidase subunit 5B","gene with protein product"
122,T150879,1810,0.8987,"chr5:150460506..150460526,-",p3@TNIP1,e:10318,h:16903,,TNIP1,"TNFAIP3 interacting protein 1","gene with protein product"
123,T190638,1804,0.8980,"chr9:134615443..134615521,-",p1@RAPGEF1,e:2889,h:4568,u:Q68DL3,RAPGEF1,"Rap guanine nucleotide exchange factor 1","gene with protein product"
124,T033447,1800,0.8964,"chr13:47127399..47127434,+",p2@LRCH1,e:23143,h:20309,u:F8W6F0,LRCH1,"leucine rich repeats and calponin homology domain containing 1","gene with protein product"
125,T108698,1798,0.8963,"chr22:38302285..38302361,+",p1@MICALL1,e:85377,h:29804,u:Q8N3F8,MICALL1,"MICAL like 1","gene with protein product"
126,T042261,1798,0.8950,"chr15:22892677..22892733,+",p1@CYFIP1,e:23191,h:13759,u:Q7L576,CYFIP1,"cytoplasmic FMR1 interacting protein 1","gene with protein product"
127,T099896,1797,0.8945,"chr20:32399093..32399169,+",p1@CHMP4B,e:128866,h:16171,"u:P59074,u:Q9H444",CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
128,T066511,1794,0.8943,"chr18:2847033..2847058,+",p3@EMILIN2,e:84034,h:19881,u:Q9BXX0,EMILIN2,"elastin microfibril interfacer 2","gene with protein product"
129,T136020,1796,0.8935,"chr3:51715738..51715765,+",p2@TEX264,e:51368,h:30247,,TEX264,"testis expressed 264","gene with protein product"
130,T077048,1793,0.8934,"chr19:50979753..50979801,+",p1@C19orf63,e:284361,h:27609,u:Q5UCC4,EMC10,"ER membrane protein complex subunit 10","gene with protein product"
131,T151369,1796,0.8931,"chr5:156887204..156887239,+",p1@NIPAL4,e:348938,h:28018,,NIPAL4,"NIPA like domain containing 4","gene with protein product"
132,T174078,1788,0.8904,"chr7:24797517..24797528,-",p6@DFNA5,e:1687,h:2810,u:C9JSR4,DFNA5,"DFNA5, deafness associated tumor suppressor","gene with protein product"
133,T160492,1791,0.8902,"chr6:149638992..149639042,+",p30@TAB2,e:23118,h:17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
134,T006434,1789,0.8900,"chr10:72575788..72575797,+",p5@SGPL1,e:8879,h:10817,u:O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
135,T034338,1785,0.8889,"chr13:77460532..77460548,-",p1@KCTD12,e:115207,h:14678,u:Q96CX2,KCTD12,"potassium channel tetramerization domain containing 12","gene with protein product"
136,T140286,1788,0.8887,"chr4:146101304..146101326,-",p3@OTUD4,e:54726,h:24949,u:G3V0I6,OTUD4,"OTU deubiquitinase 4","gene with protein product"
137,T088611,1784,0.8880,"chr1:206680853..206680871,+",p1@RASSF5,e:83593,h:17609,"u:Q8WWW0,u:E9PDX5,u:Q59GG4",RASSF5,"Ras association domain family member 5","gene with protein product"
138,T086396,1781,0.8856,"chr1:182573514..182573534,-",p1@RGS16,e:6004,h:9997,u:O15492,RGS16,"regulator of G-protein signaling 16","gene with protein product"
139,T109774,1773,0.8838,"chr22:46546494..46546525,+",p2@PPARA,e:5465,h:9232,"u:Q07869,u:B0QYX1,u:F1D8S4",PPARA,"peroxisome proliferator activated receptor alpha","gene with protein product"
140,T069091,1773,0.8834,"chr18:77155922..77155939,+",p1@NFATC1,e:4772,h:7775,,NFATC1,"nuclear factor of activated T-cells 1","gene with protein product"
141,T177400,1764,0.8798,"chr7:77166359..77166423,+",p2@PTPN12,e:5782,h:9645,u:Q05209,PTPN12,"protein tyrosine phosphatase, non-receptor type 12","gene with protein product"
142,T199808,1766,0.8773,"chrX:46433166..46433188,+",p2@CHST7,e:56548,h:13817,u:Q9NS84,CHST7,"carbohydrate sulfotransferase 7","gene with protein product"
143,T189238,1765,0.8768,"chr9:124262091..124262114,-",p1@GGTA1P,,h:4253,,GGTA1P,"glycoprotein, alpha-galactosyltransferase 1 pseudogene",pseudogene
144,T006433,1757,0.8767,"chr10:72575643..72575753,+",p1@SGPL1,e:8879,h:10817,u:O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
145,T107511,1756,0.8762,"chr22:29784582..29784593,-",p3@AP1B1,e:162,h:554,"u:F8WDL0,u:Q10567,u:Q86X54",AP1B1,"adaptor related protein complex 1 beta 1 subunit","gene with protein product"
146,T156948,1755,0.8744,"chr5:96038476..96038517,+",p1@CAST,e:831,h:1515,"u:G5E946,u:E9PDE4,u:D6RBZ8,u:E9PCH5,u:E7ES10,u:E7EVY3,u:B7Z574,u:Q86YM9",CAST,calpastatin,"gene with protein product"
147,T094184,1754,0.8739,"chr1:39571026..39571117,+",p1@MACF1,e:23499,h:13664,u:E9PLY5,MACF1,"microtubule-actin crosslinking factor 1","gene with protein product"
148,T023706,1751,0.8716,"chr12:18414446..18414457,+",p1@PIK3C2G,e:5288,h:8973,u:O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
149,T009560,1751,0.8703,"chr11:110300622..110300692,+",p1@FDX1,e:2230,h:3638,u:P10109,FDX1,"ferredoxin 1","gene with protein product"
150,T086553,1746,0.8700,"chr1:183441600..183441616,+",p4@SMG7,e:9887,h:16792,u:E9PD50,SMG7,"SMG7, nonsense mediated mRNA decay factor","gene with protein product"
151,T003756,1746,0.8700,"chr10:26986285..26986293,+",p8@PDSS1,e:23590,h:17759,u:Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
152,T028940,1742,0.8662,"chr12:72148820..72148829,+",p4@RAB21,e:23011,h:18263,u:Q9UL25,RAB21,"RAB21, member RAS oncogene family","gene with protein product"
153,T101216,1738,0.8660,"chr20:43977055..43977073,-",p1@SDC4,e:6385,h:10661,"u:P31431,u:B4E1S6,u:Q6FGN3",SDC4,"syndecan 4","gene with protein product"
154,T149354,1737,0.8655,"chr5:138534047..138534064,-",p2@SIL1,e:64374,h:24624,"u:F5H0H2,u:Q9H173",SIL1,"SIL1 nucleotide exchange factor","gene with protein product"
155,T013768,1736,0.8650,"chr11:34663654..34663663,+",p17@EHF,e:26298,h:3246,,EHF,"ETS homologous factor","gene with protein product"
156,T023047,1734,0.8640,"chr12:131323754..131323820,-",p1@STX2,e:2054,h:3403,u:P32856,STX2,"syntaxin 2","gene with protein product"
157,T035539,1730,0.8633,"chr14:103592692..103592767,+",p28@TNFAIP2,e:7127,h:11895,,TNFAIP2,"TNF alpha induced protein 2","gene with protein product"
158,T186915,1732,0.8630,"chr8:8751020..8751050,-",p2@MFHAS1,e:9258,h:16982,u:Q9Y4C4,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1","gene with protein product"
159,T007057,1732,0.8630,"chr10:79398224..79398246,-",p4@KCNMA1,e:3778,h:6284,u:Q5SVJ7,KCNMA1,"potassium calcium-activated channel subfamily M alpha 1","gene with protein product"
160,T035537,1731,0.8621,"chr14:103589789..103589804,+",p1@TNFAIP2,e:7127,h:11895,,TNFAIP2,"TNF alpha induced protein 2","gene with protein product"
