,v1,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
12494,VIT_08s0105g00430,VviFAD8,Vitvi08g00662,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta15/Omega3 desaturase,,,K10257,vv11040Biosynthesis_of_unsaturated_fatty_acids,
18970,VIT_13s0067g01120,VviFAD7,Vitvi13g00060,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta15/Omega3 desaturase,,,K10257,vv11040Biosynthesis_of_unsaturated_fatty_acids,
28447,VIT_19s0090g00120,VviFAD4,Vitvi19g02007,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta3 desaturase,,,K10704,vv11040Biosynthesis_of_unsaturated_fatty_acids,
14248,VIT_09s0002g06970,VviADS,Vitvi09g00616,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta9 desaturase,,,FAD5,vv10071Fatty_acid_metabolism,
2795,VIT_01s0011g04860,VviPIN1,Vitvi01g00411,,,PIN,Auxin transport (PIN),,,PIN3,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
6821,VIT_04s0023g00320,VviPIN2,Vitvi04g01151,,,PIN,Auxin transport (PIN),,,AUXEFF8,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
6822,VIT_04s0023g00330,VviPIN3,Vitvi04g01153,,,PIN,Auxin transport (PIN),,,PIN5,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
6831,VIT_04s0023g00450,VviPIN4,Vitvi04g01162,,,PIN,Auxin transport (PIN),,,AUXEFF8,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
8412,VIT_05s0062g01120,VviPIN5,Vitvi05g01348,,,PIN,Auxin transport (PIN),,,PIN1,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
12329,VIT_08s0056g00310,VviPIN6,Vitvi08g00027,,,PIN,Auxin transport (PIN),,,AUXEFF,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
12693,VIT_08s0040g01220,VviPIN7,Vitvi08g00977,,,PIN,Auxin transport (PIN),,,AUXEFF10,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
12694,VIT_08s0040g01230,VviPIN8,Vitvi08g00978,,,PIN,Auxin transport (PIN),,,PIN3,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
17249,VIT_11s0052g00440,VviPIN9,Vitvi11g01186,,,PIN,Auxin transport (PIN),,,PIN1,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
21480,VIT_14s0108g00020,VviPIN10,Vitvi14g01899,,,PIN,Auxin transport (PIN),,,PIN8,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
24533,VIT_17s0000g02420,VviPIN11,Vitvi17g00210,,,PIN,Auxin transport (PIN),,,PIN3,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
26296,VIT_18s0001g15420,VviPIN12,Vitvi18g01224,,,PIN,Auxin transport (PIN),,,AUXEFF6,vv50004Auxin_transport,vv50125Porters_cat_66_to_94
481,VIT_04s0008g05440,ERF044,Vitvi04g00479,ERF,V,AP2/ERF,Ethylene-responsive transcription factor,,,SHINE3_1,vv30008Ethylene_signaling,vv60003AP2_EREBP
1948,VIT_06s0004g01450,VviLOX10,Vitvi06g00149,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1949,VIT_06s0004g01460,VviLOX11,Vitvi06g00150,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1950,VIT_06s0004g01510,LOXA,Vitvi06g00158,Type II Lipoxygenase,13-LOX,Lipoxygenase Pathway,Lipoxygenase,VviLOX12,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1951,VIT_09s0002g01080,LOXO,Vitvi09g00085,Type II Lipoxygenase,13-LOX,Lipoxygenase Pathway,Lipoxygenase,VviLOX13,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1955,VIT_13s0064g01480,VviLOX13,Vitvi13g01780,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1957,VIT_01s0010g02750,VviLOX6,Vitvi01g01562,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1958,VIT_06s0004g01480,VviLOX7,Vitvi06g00155,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1959,VIT_06s0004g01500,VviLOX8,Vitvi06g00156,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1960,VIT_06s0004g01470,VviLOX9,Vitvi06g00153,,13-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1952,VIT_07s0141g00340,VviLOX14,Vitvi07g01151,,9-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1953,VIT_14s0128g00790,VviLOX1a,Vitvi14g00234,,9-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1954,VIT_14s0128g00780,VviLOX1b,Vitvi14g02539,,9-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
1956,VIT_05s0020g03170,VviLOX5,Vitvi05g00472,,9-LOX,Lipoxygenase Pathway,Lipoxygenase,,Enzyme,,vv10592alpha-Linolenic_acid_metabolism,
6478,VIT_04s0008g04510,VvK4.1,Vitvi04g00391,Type IV (silent),,Shaker family ,Potassium channel,,,ATKC1,vv50101Channels_and_pores,
6504,VIT_04s0008g04990,VviK1.2,Vitvi04g00440,Type I (in),,Shaker family ,Potassium channel,,,AKT1,vv30001ABA_signaling,vv50101Channels_and_pores
15581,VIT_10s0003g03270,VviSIRK,Vitvi10g00777,Type II (in),,Shaker family ,Potassium channel,VviK2.1,,SIRK,vv30001ABA_signaling,vv50101Channels_and_pores
16854,VIT_11s0016g04750,VviK1.1,Vitvi11g00420,Type I (in),,Shaker family ,Potassium channel,,,AKT1,vv30001ABA_signaling,vv50101Channels_and_pores
16929,VIT_11s0016g05810,VvK5.3,Vitvi11g00515,Type V (out),,Shaker family ,Potassium channel,,,SKOR,vv50101Channels_and_pores,
18350,VIT_12s0034g02240,VvK3.1,Vitvi12g01906,Type III (weak),,Shaker family ,Potassium channel,,,AKT2,vv50101Channels_and_pores,
20862,VIT_14s0006g00100,VvK5.1,Vitvi14g00763,Type V (out),,Shaker family ,Potassium channel,,,SKOR,vv50101Channels_and_pores,
24504,VIT_17s0000g01980,VvK5.4,Vitvi17g00166,Type V (out),,Shaker family ,Potassium channel,,,SKOR,vv50101Channels_and_pores,
26803,VIT_18s0089g01300,VvK5.2,Vitvi18g02427,Type V (out),,Shaker family ,Potassium channel,,,SKOR,vv50101Channels_and_pores,
15333,VIT_00s0583g00030,VviDES,Vitvi10g00414,Membrane-bound fatty acid desaturases,,,sphingolipids Delta4 desaturase,,,K04712,vv10600Sphingolipid_metabolism,
6268,VIT_04s0008g01210,VviSLD1,Vitvi04g00103,Membrane-bound fatty acid desaturases,,,sphingolipids Delta8 desaturase,,,,vv10600Sphingolipid_metabolism,
22651,VIT_15s0046g01680,VviSLD2,Vitvi15g01049,Membrane-bound fatty acid desaturases,,,sphingolipids Delta8 desaturase,,,,vv10600Sphingolipid_metabolism,
0,VIT_03s0017g00870,3AT,Vitvi03g01816,AT,AT,Flavonoid Pathway (Proanthocyanins and Anthocyanins),acetyl transferase,,Enzyme,,,
1,VIT_01s0010g02740,4CL1,Vitvi01g01561,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
2,VIT_14s0171g00290,4CL10,Vitvi14g01588,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
3,VIT_14s0171g00300,4CL11,Vitvi14g01589,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
4,VIT_16s0039g02040,4CL12,Vitvi16g00139,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
5,VIT_16s0050g00390,4CL13,Vitvi16g01036,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
6,VIT_17s0000g01790,4CL14,Vitvi17g00148,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
7,VIT_18s0001g00280,4CL15,Vitvi18g00124,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10592alpha-Linolenic_acid_metabolism,vv50104Group_translocators
8,VIT_18s0001g00290,4CL16,Vitvi18g00126,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10592alpha-Linolenic_acid_metabolism,vv50104Group_translocators
9,VIT_01s0010g03720,4CL2,Vitvi01g01661,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
10,VIT_02s0025g03660,4CL3,Vitvi02g00338,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
11,VIT_02s0109g00250,4CL4,Vitvi02g00938,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
12,VIT_04s0008g02550,4CL5,Vitvi04g00220,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
13,VIT_06s0061g00450,4CL6,Vitvi06g01318,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
14,VIT_08s0007g05050,4CL7,Vitvi08g01625,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
15,VIT_11s0052g01090,4CL8,Vitvi11g01257,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
16,VIT_11s0052g01110,4CL9,Vitvi11g01258,4CL,4CL,Phenylpropanoid Pathway (Early),4CL (4-Coumarate:CoA Ligase),,Enzyme,6.2.1.12,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
17,,5GT,Vitvi19g02353,UGT,5GT,Flavonoid Pathway (Proanthocyanins and Anthocyanins),,,Enzyme,,,
18,VIT_00s0531g00050,AACT1,Vitvi10g02269,AACT,AACT,MVA Pathway,Acetoacetyl-CoA Thiolase,,Enzyme,,vv10071Fatty_acid_metabolism,vv10072Synthesis_and_degradation_of_ketone_bodies
19,VIT_12s0057g01200,AACT2,Vitvi12g02504,AACT,AACT,MVA Pathway,Acetoacetyl-CoA Thiolase,,Enzyme,,vv10071Fatty_acid_metabolism,vv10072Synthesis_and_degradation_of_ketone_bodies
20,VIT_16s0050g02480,ABCC1,Vitvi16g01210,ABC-transporter,ABCC,Flavonoid Pathway (Anthocyanin Transport),ATP-binding cassette (ABC),,Enzyme,,vv52010ABC_transporters,
21,VIT_10s0042g00820,ABS1,Vitvi10g01395,MADS_BS,MADS_BS,MADS-box,putative MADS-box B-Sister 1,,TF,,vv60042MADS,
22,VIT_01s0011g01560,ABS2,Vitvi01g00126,MADS_BS,MADS_BS,MADS-box,putative MADS-box B-Sister 2,,TF,,vv60042MADS,
23,VIT_02s0025g02350,ABS3,Vitvi02g00206,MADS_BS,MADS_BS,MADS-box,putative MADS-box B-Sister 3,,TF,,vv60042MADS,
24,VIT_06s0004g03430,AD1,Vitvi06g00346,AD,AD,Shikimate Pathway,arogenate dehydratase,,Enzyme,4.2.1.91,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
25,VIT_06s0061g01300,AD2,Vitvi06g01946,AD,AD,Shikimate Pathway,arogenate dehydratase,,Enzyme,4.2.1.91,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
26,VIT_10s0116g01670,AD3,Vitvi10g00088,AD,AD,Shikimate Pathway,arogenate dehydratase,,Enzyme,4.2.1.91,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
27,VIT_12s0059g00750,AD4,Vitvi12g00380,AD,AD,Shikimate Pathway,arogenate dehydratase,,Enzyme,4.2.1.91,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
28,VIT_18s0001g15410,ADH1,Vitvi18g01223,Alcohol dehydrogenase,Alcohol dehydrogenase,Unclassified (Lipoxygenase Pathway),Alcohol dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
29,VIT_04s0044g01110,ADH2,Vitvi04g01668,Alcohol dehydrogenase,Alcohol dehydrogenase,Unclassified (Lipoxygenase Pathway),Alcohol dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
30,VIT_18s0001g15450,ADH3,Vitvi18g01226,Alcohol dehydrogenase,Alcohol dehydrogenase,Unclassified (Lipoxygenase Pathway),Alcohol dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
31,VIT_12s0142g00360,AG1,Vitvi12g00019,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous 1,,TF,,vv60042MADS,
32,VIT_10s0003g02070,AG2,Vitvi10g00663,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous 2,,TF,,vv30009Flower_development,vv60042MADS
33,VIT_18s0041g01880,AGL11,Vitvi18g02133,MADS_AG,MADS_AG,MADS-box,,AG3,TF,,vv60042MADS,
34,VIT_18s0041g02140,AGL12,Vitvi18g02145,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 12,,TF,,vv60042MADS,
35,VIT_13s0158g00100,AGL15a,Vitvi13g01861,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 15a,,TF,,vv60042MADS,
36,VIT_08s0007g08790,AGL15b,Vitvi08g01935,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 15b,,TF,,vv60042MADS,
37,VIT_18s0001g07900,AGL17a,Vitvi18g00553,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 17a,,TF,,vv60042MADS,
38,VIT_03s0097g00160,AGL17b,Vitvi03g00819,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 17b,,TF,,vv60042MADS,
39,VIT_00s0211g00180,AGL17c,Vitvi07g01520,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 17c,,TF,,vv60042MADS,
40,VIT_00s0211g00140,AGL17d,Vitvi07g01516,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 17d,,TF,,,
41,VIT_15s0048g01270,AGL6a,Vitvi15g00776,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 6a,,TF,,vv60042MADS,
42,VIT_16s0022g02330,AGL6b,Vitvi16g00894,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous-like 6b,,TF,,vv60042MADS,
43,VIT_17s0000g07650,ALDH10A,Vitvi17g01525,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores
44,VIT_14s0066g02410,ALDH10B1,Vitvi14g01874,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores
45,VIT_05s0077g01060,ALDH22A1,Vitvi05g00117,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores
46,VIT_17s0000g08070,ALDH2B4,Vitvi17g00786,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
47,VIT_01s0026g00220,ALDH2B8,Vitvi01g00787,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
48,VIT_14s0066g01550,ALDH2B9,Vitvi14g01796,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
49,VIT_04s0023g02810,ALDH3F1,Vitvi04g01402,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
50,VIT_18s0001g02440,ALDH3H1,Vitvi18g00255,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
51,VIT_07s0031g02630,ALDH3H5,Vitvi07g01934,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
52,VIT_06s0004g02060,ALDH3J1,Vitvi06g00210,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
53,VIT_19s0085g00880,ALDH5F1,Vitvi19g01741,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism
54,VIT_19s0085g00870,ALDH5F2,Vitvi19g01740,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism
55,VIT_03s0132g00200,ALDH6B3,Vitvi03g00895,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10280Valine_leucine_and_isoleucine_degradation,vv10640Propanoate_metabolism
56,VIT_03s0132g00210,ALDH6B5,Vitvi03g00892,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,,
57,VIT_00s0218g00070,ALDH6B7,Vitvi07g01403,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10280Valine_leucine_and_isoleucine_degradation,vv10640Propanoate_metabolism
58,VIT_11s0016g00900,ALDH7B5,Vitvi11g00066,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
59,VIT_09s0002g01010,ALDH7D1,Vitvi09g00078,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
60,VIT_19s0085g00860,ALDHF5F3,Vitvi19g01739,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10251Glutamate_metabolism,vv10650Butanoate_metabolism
61,VIT_08s0007g01060,ALDHI 8B3,Vitvi08g01261,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10330Arginine_and_proline_metabolism,
62,VIT_04s0008g05810,ALDHI1A3,Vitvi04g00515,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv50101Channels_and_pores
63,VIT_17s0000g05800,ALDHI2A1,Vitvi17g00555,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10251Glutamate_metabolism,vv10330Arginine_and_proline_metabolism
64,VIT_13s0019g02360,ALDHI8B1,Vitvi13g00355,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10220Urea_cycle_and_metabolism_of_amino_groups,
65,VIT_11s0037g00070,ALDHIB1,Vitvi11g00686,ALDH,ALDH,Unclassified (Unknown Pathway),Aldehyde dehydrogenase,,Enzyme,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv50101Channels_and_pores
66,VIT_16s0050g00930,AM1,Vitvi16g01915,AM,AM,Flavonoid Pathway (Anthocyanin Transport),AnthoMATE,,Enzyme,,vv50125Porters_cat_66_to_94,
67,VIT_16s0050g00910,AM2,Vitvi16g01913,AM,AM,Flavonoid Pathway (Anthocyanin Transport),AnthoMATE,,Enzyme,,vv50125Porters_cat_66_to_94,
68,VIT_16s0050g00900,AM3,Vitvi16g01911,AM,AM,Flavonoid Pathway (Anthocyanin Transport),AnthoMATE,,Enzyme,,vv50125Porters_cat_66_to_94,
69,VIT_00s0623g00010,AMP2,Vitvi18g03332,Defensin,Defensin,Defensin,,,Other,,,
70,VIT_08s0007g03560,ANM1,Vitvi08g01478,ANM,ANM,Flavonoid Pathway (Anthocyanin Transport),Anthocyanin membrane protein,,Enzyme,,vv50122Porters_cat_7_to_17,
71,VIT_00s0361g00040,ANR1,Vitvi10g02185,ANR,ANR,Flavonoid Pathway (Proanthocyanins and Anthocyanins),,,Enzyme,,vv10941Flavonoid_biosynthesis,
72,VIT_06s0009g01320,AO1,Vitvi06g01033,AO,AO,Unclassified (Unknown Pathway),Ascorbate Oxidase,,Enzyme,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
73,VIT_07s0031g01040,AO2,Vitvi07g02676,AO,AO,Unclassified (Unknown Pathway),Ascorbate Oxidase,,Enzyme,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
74,VIT_07s0031g01010,AO3,Vitvi07g02674,AO,AO,Unclassified (Unknown Pathway),Ascorbate Oxidase,,Enzyme,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
75,VIT_07s0031g01070,AO4,Vitvi07g01784,AO,AO,Unclassified (Unknown Pathway),Ascorbate Oxidase,,Enzyme,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
76,VIT_07s0031g01130,AO5,Vitvi07g01791,AO,AO,Unclassified (Unknown Pathway),Ascorbate Oxidase,,Enzyme,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
77,VIT_08s0007g08730,AOH1,Vitvi08g01929,ABC-transporter,AOH/ABCA,ABC-transporter,ATP-binding cassette (ABC),ABCA1,Transporter,,vv52010ABC_transporters,
78,VIT_01s0010g03510,AOMT1,Vitvi01g02265,AOMT,AOMT,Flavonoid Pathway (Proanthocyanins and Anthocyanins),,,Enzyme,,vv10940Phenylpropanoid_biosynthesis,
79,VIT_01s0010g03490,AOMT2,Vitvi01g02263,AOMT,AOMT,Flavonoid Pathway (Proanthocyanins and Anthocyanins),,,Enzyme,,vv10940Phenylpropanoid_biosynthesis,
80,VIT_01s0010g03470,AOMT3,Vitvi01g02261,AOMT,AOMT,Flavonoid Pathway (Proanthocyanins and Anthocyanins),,CcoAOMT3,Enzyme,,vv10940Phenylpropanoid_biosynthesis,
81,VIT_01s0011g00100,AP1,Vitvi01g00008,MADS_AP1,MADS_AP1,MADS-box,putative MADS-box Apetala 1,,TF,,vv30009Flower_development,vv60042MADS
82,VIT_11s0037g00870,AP2-01,Vitvi11g00798,AP2,AP2,AP2/ERF,AP2-like ethylene-responsive transcription factor,,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
83,VIT_14s0108g00050,AP2-02,Vitvi14g01902,AP2,AP2,AP2/ERF,Ethylene-responsive transcription factor WRINKLED 1,,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
84,VIT_06s0004g01800,AP2-03,Vitvi06g00187,AP2,AP2,AP2/ERF,Ethylene-responsive transcription factor PLETHORA 2,,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
85,VIT_04s0023g00950,AP2-05,Vitvi04g01207,AP2,AP2,AP2/ERF,AP2/EREBP transcription factor BABY BOOM,,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
86,VIT_09s0018g01650,AP2-06,Vitvi09g01269,AP2,AP2,AP2/ERF,Wrinkled1 (AP2/ERBP),,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
87,VIT_01s0026g01690,AP2-08,Vitvi01g00934,AP2,AP2,AP2/ERF,Ethylene-responsive transcription factor WRINKLED 1,,TF,,vv30008Ethylene_signaling,vv60003AP2_EREBP
