Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
36,T160490,1983,0.9861,p1@TAB2,23118,17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
37,T099966,1977,0.9860,p1@FDX1P1,,3640,,FDX1P1,"ferredoxin 1 pseudogene 1",pseudogene
38,T119393,1984,0.9851,p11@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
39,T037818,1980,0.9851,p1@BAZ1A,11177,960,"Q9NRL2,F5H239",BAZ1A,"bromodomain adjacent to zinc finger domain 1A","gene with protein product"
40,T003758,1980,0.9846,p3@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
41,T137170,1975,0.9845,p1@FRMD4B,23150,24886,C9JA15,FRMD4B,"FERM domain containing 4B","gene with protein product"
42,T194566,1977,0.9841,p1@DAPK1,1612,2674,P53355,DAPK1,"death associated protein kinase 1","gene with protein product"
43,T008634,1977,0.9841,p3@LCOR,84458,29503,Q96JN0,LCOR,"ligand dependent nuclear receptor corepressor","gene with protein product"
44,T058715,1969,0.9820,p3@STAT5A,6776,11366,"Q59GY7,Q1KLZ6",STAT5A,"signal transducer and activator of transcription 5A","gene with protein product"
45,T189149,1968,0.9820,p1@TRAF1,7185,12031,Q13077,TRAF1,"TNF receptor associated factor 1","gene with protein product"
46,T003759,1968,0.9801,p12@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
47,T055340,1965,0.9791,p23@GAS7,8522,4169,"O60861,F5H2K0",GAS7,"growth arrest specific 7","gene with protein product"
48,T185242,1960,0.9766,p2@RGS20,8601,14600,,RGS20,"regulator of G-protein signaling 20","gene with protein product"
49,T024316,1963,0.9761,p4@ARNTL2,56938,18984,F5H402,ARNTL2,"aryl hydrocarbon receptor nuclear translocator like 2","gene with protein product"
50,T119398,1956,0.9760,p9@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
51,T084405,1958,0.9756,p1@PLEKHM2,23207,29131,Q8IWE5,PLEKHM2,"pleckstrin homology and RUN domain containing M2","gene with protein product"
52,T119390,1958,0.9746,p8@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
53,T083862,1957,0.9736,p3@ETV3,2117,3492,,ETV3,"ETS variant 3","gene with protein product"
54,T020109,1955,0.9736,p6@DRAM1,55332,25645,Q8N682,DRAM1,"DNA damage regulated autophagy modulator 1","gene with protein product"
55,T124240,1959,0.9732,p2@VPS54,51542,18652,,VPS54,"VPS54, GARP complex subunit","gene with protein product"
56,T186916,1952,0.9726,p1@MFHAS1,9258,16982,Q9Y4C4,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1","gene with protein product"
57,T164945,1952,0.9721,p4@NUDT3,11165,8050,O95989,NUDT3,"nudix hydrolase 3","gene with protein product"
58,T009165,1946,0.9715,p9@AMPD3,272,470,B7Z763,AMPD3,"adenosine monophosphate deaminase 3","gene with protein product"
59,T003757,1946,0.9701,p2@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
60,T189239,1950,0.9697,p2@GGTA1P,,4253,,GGTA1P,"glycoprotein, alpha-galactosyltransferase 1 pseudogene",pseudogene
61,T200751,1947,0.9691,p1@STARD8,9754,19161,Q92502,STARD8,"StAR related lipid transfer domain containing 8","gene with protein product"
62,T155754,1947,0.9682,p2@IQGAP2,10788,6111,"F5H7S7,Q13576,Q59HA3",IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
63,T168207,1943,0.9681,p5@SYNCRIP,10492,16918,"O60506,Q59GL1",SYNCRIP,"synaptotagmin binding cytoplasmic RNA interacting protein","gene with protein product"
64,T127014,1942,0.9671,p7@ALCAM,214,400,"B4DTU0,Q13740,B3KNN9,Q6PEY4",ALCAM,"activated leukocyte cell adhesion molecule","gene with protein product"
65,T146789,1939,0.9666,p7@HERC6,55008,26072,D6RCT4,HERC6,"HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","gene with protein product"
66,T015711,1940,0.9657,p6@FADS2,9415,3575,E5RGD8,FADS2,"fatty acid desaturase 2","gene with protein product"
67,T007603,1933,0.9626,p1@FAM190B,54462,29197,Q9H7U1,CCSER2,"coiled-coil serine rich protein 2","gene with protein product"
68,T009564,1934,0.9608,p2@FDX1,2230,3638,P10109,FDX1,"ferredoxin 1","gene with protein product"
69,T193704,1922,0.9567,p1@TJP2,9414,11828,,TJP2,"tight junction protein 2","gene with protein product"
70,T138955,1917,0.9556,p4@C4orf32,132720,26813,Q8N8J7,C4orf32,"chromosome 4 open reading frame 32","gene with protein product"
71,T177402,1922,0.9553,p1@PTPN12,5782,9645,Q05209,PTPN12,"protein tyrosine phosphatase, non-receptor type 12","gene with protein product"
72,T002901,1914,0.9527,p1@FAM107B,83641,23726,Q9H098,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
73,T109608,1912,0.9527,p2@PRR5,55615,31682,"B1AHG4,P85299",PRR5,"proline rich 5","gene with protein product"
74,T166148,1910,0.9526,p10@TMEM63B,55362,17735,,TMEM63B,"transmembrane protein 63B","gene with protein product"
75,T114488,1916,0.9523,p2@CERS6,253782,23826,Q32M63,CERS6,"ceramide synthase 6","gene with protein product"
76,T186871,1909,0.9516,p1@CA2,760,1373,E5RK37,CA2,"carbonic anhydrase 2","gene with protein product"
77,T189904,1913,0.9503,p2@ST6GALNAC6,30815,23364,Q969X2,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","gene with protein product"
78,T048469,1901,0.9481,p4@HSP90B2P,,12099,,HSP90B2P,"heat shock protein 90 beta family member 2, pseudogene",pseudogene
79,T139929,1899,0.9462,p6@CCRN4L,25819,14254,Q9UK39,NOCT,nocturnin,"gene with protein product"
80,T105409,1901,0.9448,p13@MX1,4599,7532,"B3KU10,P20591",MX1,"MX dynamin like GTPase 1","gene with protein product"
81,T009563,1897,0.9443,p4@FDX1,2230,3638,P10109,FDX1,"ferredoxin 1","gene with protein product"
82,T143940,1897,0.9438,p3@TMEM33,55161,25541,,TMEM33,"transmembrane protein 33","gene with protein product"
83,T022165,1898,0.9433,p1@RHOF,54509,15703,Q9HBH0,RHOF,"ras homolog family member F, filopodia associated","gene with protein product"
84,T075183,1892,0.9432,p1@KCNN4,3783,6293,O15554,KCNN4,"potassium calcium-activated channel subfamily N member 4","gene with protein product"
85,T187023,1889,0.9403,p4@RIPK2,8767,10020,O43353,RIPK2,"receptor interacting serine/threonine kinase 2","gene with protein product"
86,T124031,1889,0.9393,p1@REL,5966,9954,"Q04864,Q17RU2",REL,"REL proto-oncogene, NF-kB subunit","gene with protein product"
87,T051106,1887,0.9393,p2@STX4,6810,11439,A8MXY0,STX4,"syntaxin 4","gene with protein product"
88,T022482,1884,0.9387,p3@RILPL2,196383,28787,Q969X0,RILPL2,"Rab interacting lysosomal protein like 2","gene with protein product"
89,T157439,1879,0.9362,p5@AIM1,202,356,Q9Y4K1,AIM1,"absent in melanoma 1","gene with protein product"
90,T128682,1879,0.9353,p1@MGLL,11343,17038,Q99685,MGLL,"monoglyceride lipase","gene with protein product"
91,T050365,1872,0.9337,p1@IL27,246778,19157,Q8NEV9,IL27,"interleukin 27","gene with protein product"
92,T105408,1870,0.9336,p5@MX1,4599,7532,"B3KU10,P20591",MX1,"MX dynamin like GTPase 1","gene with protein product"
93,T078983,1873,0.9332,p8@C3,718,1318,,C3,"complement C3","gene with protein product"
94,T064556,1874,0.9328,p2@RNF213,57674,14539,,RNF213,"ring finger protein 213","gene with protein product"
95,T068309,1872,0.9323,p1@BCL2,596,990,P10415,BCL2,"BCL2, apoptosis regulator","gene with protein product"
96,T074997,1868,0.9307,p2@MPND,84954,25934,,MPND,"MPN domain containing","gene with protein product"
97,T128413,1873,0.9305,p3@ITGB5,3693,6160,P18084,ITGB5,"integrin subunit beta 5","gene with protein product"
98,T051109,1858,0.9267,p4@STX4,6810,11439,,STX4,"syntaxin 4","gene with protein product"
99,T102124,1860,0.9263,p2@PTPN1,5770,9642,B4DSN5,PTPN1,"protein tyrosine phosphatase, non-receptor type 1","gene with protein product"
100,T110009,1856,0.9248,p1@PIM3,415116,19310,,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
101,T179234,1855,0.9233,p3@ZNF706,51123,24992,,ZNF706,"zinc finger protein 706","gene with protein product"
102,T154951,1854,0.9224,p2@ELOVL7,79993,26292,"D6RHD0,D6RBR5",ELOVL7,"ELOVL fatty acid elongase 7","gene with protein product"
103,T041588,1848,0.9212,p7@ITPK1,3705,6177,,ITPK1,"inositol-tetrakisphosphate 1-kinase","gene with protein product"
104,T019642,1846,0.9202,p3@PANX1,24145,8599,,PANX1,"pannexin 1","gene with protein product"
105,T006436,1841,0.9177,p7@SGPL1,8879,10817,O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
106,T178087,1843,0.9165,p1@CYP51A1,1595,2649,Q16850,CYP51A1,"cytochrome P450 family 51 subfamily A member 1","gene with protein product"
107,T151370,1837,0.9162,p2@NIPAL4,348938,28018,,NIPAL4,"NIPA like domain containing 4","gene with protein product"
108,T143569,1839,0.9154,p1@TBC1D1,23216,11578,,TBC1D1,"TBC1 domain family member 1","gene with protein product"
109,T080977,1837,0.9144,p3@SDF4,51150,24188,G3V1E2,SDF4,"stromal cell derived factor 4","gene with protein product"
110,T093901,1836,0.9139,p1@COL8A2,1296,2216,P25067,COL8A2,"collagen type VIII alpha 2 chain","gene with protein product"
111,T048016,1829,0.9104,p3@SLCO3A1,28232,10952,,SLCO3A1,"solute carrier organic anion transporter family member 3A1","gene with protein product"
112,T075403,1826,0.9094,p7@APOE,348,613,Q6LBZ1,APOE,"apolipoprotein E","gene with protein product"
113,T163345,1823,0.9079,p3@DUSP22,56940,16077,Q9NRW4,DUSP22,"dual specificity phosphatase 22","gene with protein product"
114,T011294,1824,0.9066,p4@SLC37A2,219855,20644,E9PRJ4,SLC37A2,"solute carrier family 37 member 2","gene with protein product"
115,T128677,1818,0.9058,p4@MGLL,11343,17038,"Q99685,B3KRC2",MGLL,"monoglyceride lipase","gene with protein product"
116,T138417,1823,0.9056,p3@SLC39A8,64116,20862,Q9C0K1,SLC39A8,"solute carrier family 39 member 8","gene with protein product"
117,T131164,1815,0.9043,p2@KPNA4,3840,6397,,KPNA4,"karyopherin subunit alpha 4","gene with protein product"
118,T174913,1813,0.9033,p1@KBTBD2,25948,21751,Q8IY47,KBTBD2,"kelch repeat and BTB domain containing 2","gene with protein product"
119,T100446,1814,0.9025,p2@SRC,6714,11283,,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
120,T145536,1812,0.9024,p1@CXCL3,2921,4604,P19876,CXCL3,"C-X-C motif chemokine ligand 3","gene with protein product"
121,T126535,1804,0.8989,p2@COX5B,1329,2269,,COX5B,"cytochrome c oxidase subunit 5B","gene with protein product"
122,T150879,1810,0.8987,p3@TNIP1,10318,16903,,TNIP1,"TNFAIP3 interacting protein 1","gene with protein product"
123,T190638,1804,0.8980,p1@RAPGEF1,2889,4568,Q68DL3,RAPGEF1,"Rap guanine nucleotide exchange factor 1","gene with protein product"
124,T033447,1800,0.8964,p2@LRCH1,23143,20309,F8W6F0,LRCH1,"leucine rich repeats and calponin homology domain containing 1","gene with protein product"
125,T108698,1798,0.8963,p1@MICALL1,85377,29804,Q8N3F8,MICALL1,"MICAL like 1","gene with protein product"
126,T042261,1798,0.8950,p1@CYFIP1,23191,13759,Q7L576,CYFIP1,"cytoplasmic FMR1 interacting protein 1","gene with protein product"
127,T099896,1797,0.8945,p1@CHMP4B,128866,16171,"P59074,Q9H444",CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
128,T066511,1794,0.8943,p3@EMILIN2,84034,19881,Q9BXX0,EMILIN2,"elastin microfibril interfacer 2","gene with protein product"
129,T136020,1796,0.8935,p2@TEX264,51368,30247,,TEX264,"testis expressed 264","gene with protein product"
130,T077048,1793,0.8934,p1@C19orf63,284361,27609,Q5UCC4,EMC10,"ER membrane protein complex subunit 10","gene with protein product"
131,T151369,1796,0.8931,p1@NIPAL4,348938,28018,,NIPAL4,"NIPA like domain containing 4","gene with protein product"
132,T174078,1788,0.8904,p6@DFNA5,1687,2810,C9JSR4,DFNA5,"DFNA5, deafness associated tumor suppressor","gene with protein product"
133,T160492,1791,0.8902,p30@TAB2,23118,17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
134,T006434,1789,0.8900,p5@SGPL1,8879,10817,O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
135,T034338,1785,0.8889,p1@KCTD12,115207,14678,Q96CX2,KCTD12,"potassium channel tetramerization domain containing 12","gene with protein product"
136,T140286,1788,0.8887,p3@OTUD4,54726,24949,G3V0I6,OTUD4,"OTU deubiquitinase 4","gene with protein product"
137,T088611,1784,0.8880,p1@RASSF5,83593,17609,"Q8WWW0,E9PDX5,Q59GG4",RASSF5,"Ras association domain family member 5","gene with protein product"
138,T086396,1781,0.8856,p1@RGS16,6004,9997,O15492,RGS16,"regulator of G-protein signaling 16","gene with protein product"
139,T109774,1773,0.8838,p2@PPARA,5465,9232,"Q07869,B0QYX1,F1D8S4",PPARA,"peroxisome proliferator activated receptor alpha","gene with protein product"
140,T069091,1773,0.8834,p1@NFATC1,4772,7775,,NFATC1,"nuclear factor of activated T-cells 1","gene with protein product"
141,T177400,1764,0.8798,p2@PTPN12,5782,9645,Q05209,PTPN12,"protein tyrosine phosphatase, non-receptor type 12","gene with protein product"
142,T199808,1766,0.8773,p2@CHST7,56548,13817,Q9NS84,CHST7,"carbohydrate sulfotransferase 7","gene with protein product"
143,T189238,1765,0.8768,p1@GGTA1P,,4253,,GGTA1P,"glycoprotein, alpha-galactosyltransferase 1 pseudogene",pseudogene
144,T006433,1757,0.8767,p1@SGPL1,8879,10817,O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
145,T107511,1756,0.8762,p3@AP1B1,162,554,"F8WDL0,Q10567,Q86X54",AP1B1,"adaptor related protein complex 1 beta 1 subunit","gene with protein product"
146,T156948,1755,0.8744,p1@CAST,831,1515,"G5E946,E9PDE4,D6RBZ8,E9PCH5,E7ES10,E7EVY3,B7Z574,Q86YM9",CAST,calpastatin,"gene with protein product"
147,T094184,1754,0.8739,p1@MACF1,23499,13664,E9PLY5,MACF1,"microtubule-actin crosslinking factor 1","gene with protein product"
148,T023706,1751,0.8716,p1@PIK3C2G,5288,8973,O75747,PIK3C2G,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","gene with protein product"
149,T009560,1751,0.8703,p1@FDX1,2230,3638,P10109,FDX1,"ferredoxin 1","gene with protein product"
150,T086553,1746,0.8700,p4@SMG7,9887,16792,E9PD50,SMG7,"SMG7, nonsense mediated mRNA decay factor","gene with protein product"
151,T003756,1746,0.8700,p8@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
152,T028940,1742,0.8662,p4@RAB21,23011,18263,Q9UL25,RAB21,"RAB21, member RAS oncogene family","gene with protein product"
153,T101216,1738,0.8660,p1@SDC4,6385,10661,"P31431,B4E1S6,Q6FGN3",SDC4,"syndecan 4","gene with protein product"
154,T149354,1737,0.8655,p2@SIL1,64374,24624,"F5H0H2,Q9H173",SIL1,"SIL1 nucleotide exchange factor","gene with protein product"
155,T013768,1736,0.8650,p17@EHF,26298,3246,,EHF,"ETS homologous factor","gene with protein product"
156,T023047,1734,0.8640,p1@STX2,2054,3403,P32856,STX2,"syntaxin 2","gene with protein product"
157,T035539,1730,0.8633,p28@TNFAIP2,7127,11895,,TNFAIP2,"TNF alpha induced protein 2","gene with protein product"
158,T186915,1732,0.8630,p2@MFHAS1,9258,16982,Q9Y4C4,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1","gene with protein product"
159,T007057,1732,0.8630,p4@KCNMA1,3778,6284,Q5SVJ7,KCNMA1,"potassium calcium-activated channel subfamily M alpha 1","gene with protein product"
160,T035537,1731,0.8621,p1@TNFAIP2,7127,11895,,TNFAIP2,"TNF alpha induced protein 2","gene with protein product"
161,T119397,1731,0.8621,p5@SGPP2,130367,19953,Q8IWX5,SGPP2,"sphingosine-1-phosphate phosphatase 2","gene with protein product"
162,T119029,1728,0.8618,p3@CYP27A1,1593,2605,,CYP27A1,"cytochrome P450 family 27 subfamily A member 1","gene with protein product"
163,T082049,1734,0.8610,p4@OTUD7B,56957,16683,Q6GQQ9,OTUD7B,"OTU deubiquitinase 7B","gene with protein product"
164,T166223,1731,0.8608,p3@NFKBIE,4794,7799,,NFKBIE,"NFKB inhibitor epsilon","gene with protein product"
165,T165180,1732,0.8604,p4@MAPK13,5603,6875,"O15264,Q5R3E4",MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
166,T092770,1723,0.8581,p2@RPS6KA1,6195,10430,"E9PGT3,Q15418,E9PPC1,E9PPN6",RPS6KA1,"ribosomal protein S6 kinase A1","gene with protein product"
167,T080288,1721,0.8579,p5@CSF1,1435,2432,E9PKP4,CSF1,"colony stimulating factor 1","gene with protein product"
168,T086032,1721,0.8579,p1@RCC2,55920,30297,Q9P258,RCC2,"regulator of chromosome condensation 2","gene with protein product"
169,T006437,1722,0.8576,p9@SGPL1,8879,10817,O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
170,T070915,1713,0.8556,p1@CYP4F8,11283,2648,"B4DU85,P98187",CYP4F8,"cytochrome P450 family 4 subfamily F member 8","gene with protein product"
171,T011375,1718,0.8552,p1@PATE4,399968,35427,"P0C8F1,E9PK74",PATE4,"prostate and testis expressed 4","gene with protein product"
172,T167641,1716,0.8542,p11@EEF1A1,1915,3189,"P68104,Q5VTE0",EEF1A1,"eukaryotic translation elongation factor 1 alpha 1","gene with protein product"
173,T187638,1715,0.8541,p1@TDRD7,23424,30831,Q8NHU6,TDRD7,"tudor domain containing 7","gene with protein product"
174,T017023,1713,0.8539,p3@RELA,5970,9955,Q04206,RELA,"RELA proto-oncogene, NF-kB subunit","gene with protein product"
175,T057793,1711,0.8525,p4@STAC2,342667,23990,"Q6ZMT1,D0IN09",STAC2,"SH3 and cysteine rich domain 2","gene with protein product"
176,T181092,1713,0.8518,p2@ASAP1,50807,2720,"B2RNV3,Q9ULH1",ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1","gene with protein product"
177,T163656,1706,0.8500,p10@RIPK1,8737,10019,Q13546,RIPK1,"receptor interacting serine/threonine kinase 1","gene with protein product"
178,T071848,1702,0.8493,p2@GATAD2A,54815,29989,F5H7D9,GATAD2A,"GATA zinc finger domain containing 2A","gene with protein product"
179,T101127,1704,0.8486,p5@SEMG2,6407,10743,Q02383,SEMG2,"semenogelin II","gene with protein product"
180,T056303,1699,0.8461,p2@MAP2K3,5606,6843,,MAP2K3,"mitogen-activated protein kinase kinase 3","gene with protein product"
181,T187346,1699,0.8453,p2@PLEKHF2,79666,20757,Q9H8W4,PLEKHF2,"pleckstrin homology and FYVE domain containing 2","gene with protein product"
182,T101070,1700,0.8449,"p3@SEMG1,p4@SEMG2","6406,6407","10742,10743",P04279,SEMG1,"semenogelin I","gene with protein product"
183,T015510,1694,0.8449,p1@SLC15A3,51296,18068,Q8IY34,SLC15A3,"solute carrier family 15 member 3","gene with protein product"
184,T176452,1697,0.8447,p2@GBAS,2631,4179,C9K068,GBAS,"glioblastoma amplified sequence","gene with protein product"
185,T169895,1695,0.8441,p4@MDFIC,29969,28870,C9J104,MDFIC,"MyoD family inhibitor domain containing","gene with protein product"
186,T092778,1700,0.8441,p1@RPS6KA1,6195,10430,"E9PAN7,Q15418",RPS6KA1,"ribosomal protein S6 kinase A1","gene with protein product"
187,T139928,1697,0.8434,p5@CCRN4L,25819,14254,"Q9UK39,Q8WTX0",NOCT,nocturnin,"gene with protein product"
188,T127926,1689,0.8432,p1@ADPRH,141,269,P54922,ADPRH,"ADP-ribosylarginine hydrolase","gene with protein product"
189,T057792,1693,0.8423,p2@STAC2,342667,23990,"Q6ZMT1,D0IN09",STAC2,"SH3 and cysteine rich domain 2","gene with protein product"
190,T069376,1688,0.8415,p1@C19orf66,55337,25649,Q9NUL5,C19orf66,"chromosome 19 open reading frame 66","gene with protein product"
191,T129239,1688,0.8411,p2@CDV3,55573,26928,,CDV3,"CDV3 homolog","gene with protein product"
192,T064883,1687,0.8401,p2@GCGR,2642,4192,,GCGR,"glucagon receptor","gene with protein product"
193,T011710,1691,0.8396,p2@APLP2,334,598,,APLP2,"amyloid beta precursor like protein 2","gene with protein product"
194,T164498,1683,0.8394,p5@HLA-DQB1,3119,4944,Q29969,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1","gene with protein product"
195,T174077,1685,0.8387,p7@DFNA5,1687,2810,C9JSR4,DFNA5,"DFNA5, deafness associated tumor suppressor","gene with protein product"
196,T159528,1685,0.8383,p15@MAP3K5,4217,6857,Q99683,MAP3K5,"mitogen-activated protein kinase kinase kinase 5","gene with protein product"
197,T015889,1681,0.8380,p1@AHNAK,79026,347,A1A586,AHNAK,"AHNAK nucleoprotein","gene with protein product"
198,T041603,1678,0.8365,p1@C14orf142,84520,20356,Q9BXV9,GON7,"GON7, KEOPS complex subunit homolog","gene with protein product"
199,T169789,1680,0.8342,p1@DOCK4,9732,19192,Q8N1I0,DOCK4,"dedicator of cytokinesis 4","gene with protein product"
200,T184025,1670,0.8329,p2@KIF13B,23303,14405,"E7ERX9,F8VPJ2,Q9NQT8",KIF13B,"kinesin family member 13B","gene with protein product"
201,T019839,1671,0.8322,p7@MAML2,84441,16259,B7ZL21,MAML2,"mastermind like transcriptional coactivator 2","gene with protein product"
202,T081276,1671,0.8313,p1@ZNF697,90874,32034,Q5TEC3,ZNF697,"zinc finger protein 697","gene with protein product"
203,T114167,1662,0.8281,p1@IFIH1,64135,18873,Q9BYX4,IFIH1,"interferon induced with helicase C domain 1","gene with protein product"
204,T107462,1662,0.8281,p1@XBP1,7494,12801,F8WDI6,XBP1,"X-box binding protein 1","gene with protein product"
205,T185786,1660,0.8279,p2@YTHDF3,253943,26465,Q7Z739,YTHDF3,"YTH N6-methyladenosine RNA binding protein 3","gene with protein product"
206,T093966,1668,0.8278,p1@STK40,83931,21373,Q8N2I9,STK40,"serine/threonine kinase 40","gene with protein product"
207,T188861,1659,0.8262,p1@TNFSF15,9966,11931,O95150,TNFSF15,"tumor necrosis factor superfamily member 15","gene with protein product"
208,T161590,1657,0.8248,p15@MAP3K4,4216,6856,,MAP3K4,"mitogen-activated protein kinase kinase kinase 4","gene with protein product"
209,T101071,1658,0.8245,"p1@SEMG1,p1@SEMG2","6406,6407","10742,10743",P04279,SEMG1,"semenogelin I","gene with protein product"
210,T186311,1656,0.8243,p14@MSC,9242,7321,,MSC,musculin,"gene with protein product"
